"key_ID","year","member_state_ID","member_state","member_state_code","count_awards","total_amount_euros"
1,2016,1,"Belgium","BE",406,630405000
2,2016,2,"France","FR",979,2393585000
3,2016,3,"Germany","DE",5485,10819675000
4,2016,4,"Italy","IT",268,127628000
5,2016,5,"Luxembourg","LU",27,89489000
6,2016,6,"Netherlands","NL",567,8536732000
7,2016,7,"Denmark","DK",297,528146000
8,2016,8,"Ireland","IE",95,374518000
9,2016,9,"United Kingdom","UK",625,3407216000
10,2016,10,"Greece","EL",27,170373000
11,2016,11,"Portugal","PT",1426,516087000
12,2016,12,"Spain","ES",0,0
13,2016,13,"Austria","AT",177,191157000
14,2016,14,"Finland","FI",165,433244000
15,2016,15,"Sweden","SE",434,522621000
16,2016,16,"Cyprus","CY",0,0
17,2016,17,"Czech Republic","CZ",643,381671000
18,2016,18,"Estonia","EE",41,93522000
19,2016,19,"Hungary","HU",2061,1088454000
20,2016,20,"Latvia","LV",24,35545000
21,2016,21,"Lithuania","LT",128,169642000
22,2016,22,"Malta","MT",20,39728000
23,2016,23,"Poland","PL",0,0
24,2016,24,"Slovakia","SK",23,53449000
25,2016,25,"Slovenia","SI",26,19140000
26,2016,26,"Bulgaria","BG",403,2020832000
27,2016,27,"Romania","RO",0,0
28,2016,28,"Croatia","HR",37,79071000
29,2017,1,"Belgium","BE",623,1348567000
30,2017,2,"France","FR",2066,5322291000
31,2017,3,"Germany","DE",5883,10000948000
32,2017,4,"Italy","IT",2654,2505886000
33,2017,5,"Luxembourg","LU",27,325253000
34,2017,6,"Netherlands","NL",1764,6990348000
35,2017,7,"Denmark","DK",227,262072000
36,2017,8,"Ireland","IE",134,194680000
37,2017,9,"United Kingdom","UK",1249,5094198000
38,2017,10,"Greece","EL",16,45243000
39,2017,11,"Portugal","PT",1401,701198000
40,2017,12,"Spain","ES",0,0
41,2017,13,"Austria","AT",424,446125000
42,2017,14,"Finland","FI",354,1033820000
43,2017,15,"Sweden","SE",1185,2029418000
44,2017,16,"Cyprus","CY",0,0
45,2017,17,"Czech Republic","CZ",1310,1415504000
46,2017,18,"Estonia","EE",107,223480000
47,2017,19,"Hungary","HU",2796,2291512000
48,2017,20,"Latvia","LV",217,342369000
49,2017,21,"Lithuania","LT",161,578980000
50,2017,22,"Malta","MT",44,64787000
51,2017,23,"Poland","PL",0,0
52,2017,24,"Slovakia","SK",164,313447000
53,2017,25,"Slovenia","SI",22,49860000
54,2017,26,"Bulgaria","BG",242,178139000
55,2017,27,"Romania","RO",0,0
56,2017,28,"Croatia","HR",37,97287000
57,2018,1,"Belgium","BE",487,576393000
58,2018,2,"France","FR",1707,3981546000
59,2018,3,"Germany","DE",3922,8519805000
60,2018,4,"Italy","IT",7552,3732670000
61,2018,5,"Luxembourg","LU",49,62132000
62,2018,6,"Netherlands","NL",3078,8749346000
63,2018,7,"Denmark","DK",432,863702000
64,2018,8,"Ireland","IE",161,944043000
65,2018,9,"United Kingdom","UK",1921,4443759000
66,2018,10,"Greece","EL",456,1192866000
67,2018,11,"Portugal","PT",1172,709866000
68,2018,12,"Spain","ES",0,0
69,2018,13,"Austria","AT",508,493760000
70,2018,14,"Finland","FI",380,1100320000
71,2018,15,"Sweden","SE",1228,2556910000
72,2018,16,"Cyprus","CY",1,0
73,2018,17,"Czech Republic","CZ",1255,1228853000
74,2018,18,"Estonia","EE",126,306019000
75,2018,19,"Hungary","HU",2253,1763429000
