"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","case_type_ID","case_type","count_cases"
1,1988,1,"Competition","COMP",1,"Scheme",0
2,1988,1,"Competition","COMP",2,"Individual application",1
3,1988,1,"Competition","COMP",3,"Ad hoc",0
4,1988,2,"Agriculture and Rural Development","AGRI",1,"Scheme",0
5,1988,2,"Agriculture and Rural Development","AGRI",2,"Individual application",0
6,1988,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",0
7,1988,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",0
8,1988,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",0
9,1988,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",0
10,1989,1,"Competition","COMP",1,"Scheme",0
11,1989,1,"Competition","COMP",2,"Individual application",0
12,1989,1,"Competition","COMP",3,"Ad hoc",0
13,1989,2,"Agriculture and Rural Development","AGRI",1,"Scheme",0
14,1989,2,"Agriculture and Rural Development","AGRI",2,"Individual application",0
15,1989,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",0
16,1989,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",0
17,1989,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",0
18,1989,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",0
19,1990,1,"Competition","COMP",1,"Scheme",0
20,1990,1,"Competition","COMP",2,"Individual application",0
21,1990,1,"Competition","COMP",3,"Ad hoc",0
22,1990,2,"Agriculture and Rural Development","AGRI",1,"Scheme",0
23,1990,2,"Agriculture and Rural Development","AGRI",2,"Individual application",0
24,1990,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",0
25,1990,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",0
26,1990,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",0
27,1990,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",0
28,1991,1,"Competition","COMP",1,"Scheme",0
29,1991,1,"Competition","COMP",2,"Individual application",0
30,1991,1,"Competition","COMP",3,"Ad hoc",0
31,1991,2,"Agriculture and Rural Development","AGRI",1,"Scheme",0
32,1991,2,"Agriculture and Rural Development","AGRI",2,"Individual application",0
33,1991,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",0
34,1991,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",0
35,1991,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",0
36,1991,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",0
37,1992,1,"Competition","COMP",1,"Scheme",1
38,1992,1,"Competition","COMP",2,"Individual application",1
39,1992,1,"Competition","COMP",3,"Ad hoc",0
40,1992,2,"Agriculture and Rural Development","AGRI",1,"Scheme",0
41,1992,2,"Agriculture and Rural Development","AGRI",2,"Individual application",0
42,1992,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",0
43,1992,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",0
44,1992,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",0
45,1992,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",0
46,1993,1,"Competition","COMP",1,"Scheme",3
47,1993,1,"Competition","COMP",2,"Individual application",0
48,1993,1,"Competition","COMP",3,"Ad hoc",0
49,1993,2,"Agriculture and Rural Development","AGRI",1,"Scheme",0
50,1993,2,"Agriculture and Rural Development","AGRI",2,"Individual application",0
51,1993,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",0
52,1993,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",0
53,1993,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",0
54,1993,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",0
55,1994,1,"Competition","COMP",1,"Scheme",0
56,1994,1,"Competition","COMP",2,"Individual application",0
57,1994,1,"Competition","COMP",3,"Ad hoc",2
58,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",2
59,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",0
60,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",0
61,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",0
62,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",0
63,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",0
64,1995,1,"Competition","COMP",1,"Scheme",6
65,1995,1,"Competition","COMP",2,"Individual application",0
66,1995,1,"Competition","COMP",3,"Ad hoc",4
