"key_ID","year","member_state_ID","member_state","member_state_code","case_type_ID","case_type","count_cases"
1,1988,1,"Belgium","BE",1,"Scheme",0
2,1988,1,"Belgium","BE",2,"Individual application",0
3,1988,1,"Belgium","BE",3,"Ad hoc",0
4,1988,2,"France","FR",1,"Scheme",0
5,1988,2,"France","FR",2,"Individual application",0
6,1988,2,"France","FR",3,"Ad hoc",0
7,1988,3,"Germany","DE",1,"Scheme",0
8,1988,3,"Germany","DE",2,"Individual application",0
9,1988,3,"Germany","DE",3,"Ad hoc",0
10,1988,4,"Italy","IT",1,"Scheme",0
11,1988,4,"Italy","IT",2,"Individual application",0
12,1988,4,"Italy","IT",3,"Ad hoc",0
13,1988,5,"Luxembourg","LU",1,"Scheme",0
14,1988,5,"Luxembourg","LU",2,"Individual application",0
15,1988,5,"Luxembourg","LU",3,"Ad hoc",0
16,1988,6,"Netherlands","NL",1,"Scheme",0
17,1988,6,"Netherlands","NL",2,"Individual application",0
18,1988,6,"Netherlands","NL",3,"Ad hoc",0
19,1988,7,"Denmark","DK",1,"Scheme",0
20,1988,7,"Denmark","DK",2,"Individual application",0
21,1988,7,"Denmark","DK",3,"Ad hoc",0
22,1988,8,"Ireland","IE",1,"Scheme",0
23,1988,8,"Ireland","IE",2,"Individual application",0
24,1988,8,"Ireland","IE",3,"Ad hoc",0
25,1988,9,"United Kingdom","UK",1,"Scheme",0
26,1988,9,"United Kingdom","UK",2,"Individual application",0
27,1988,9,"United Kingdom","UK",3,"Ad hoc",0
28,1988,10,"Greece","EL",1,"Scheme",0
29,1988,10,"Greece","EL",2,"Individual application",0
30,1988,10,"Greece","EL",3,"Ad hoc",0
31,1988,11,"Portugal","PT",1,"Scheme",0
32,1988,11,"Portugal","PT",2,"Individual application",0
33,1988,11,"Portugal","PT",3,"Ad hoc",0
34,1988,12,"Spain","ES",1,"Scheme",0
35,1988,12,"Spain","ES",2,"Individual application",1
36,1988,12,"Spain","ES",3,"Ad hoc",0
37,1989,1,"Belgium","BE",1,"Scheme",0
38,1989,1,"Belgium","BE",2,"Individual application",0
39,1989,1,"Belgium","BE",3,"Ad hoc",0
40,1989,2,"France","FR",1,"Scheme",0
41,1989,2,"France","FR",2,"Individual application",0
42,1989,2,"France","FR",3,"Ad hoc",0
43,1989,3,"Germany","DE",1,"Scheme",0
44,1989,3,"Germany","DE",2,"Individual application",0
45,1989,3,"Germany","DE",3,"Ad hoc",0
46,1989,4,"Italy","IT",1,"Scheme",0
47,1989,4,"Italy","IT",2,"Individual application",0
48,1989,4,"Italy","IT",3,"Ad hoc",0
49,1989,5,"Luxembourg","LU",1,"Scheme",0
50,1989,5,"Luxembourg","LU",2,"Individual application",0
51,1989,5,"Luxembourg","LU",3,"Ad hoc",0
52,1989,6,"Netherlands","NL",1,"Scheme",0
53,1989,6,"Netherlands","NL",2,"Individual application",0
54,1989,6,"Netherlands","NL",3,"Ad hoc",0
55,1989,7,"Denmark","DK",1,"Scheme",0
56,1989,7,"Denmark","DK",2,"Individual application",0
57,1989,7,"Denmark","DK",3,"Ad hoc",0
58,1989,8,"Ireland","IE",1,"Scheme",0
