"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","member_state_ID","member_state","member_state_code","count_cases"
1,1988,1,"Competition","COMP",1,"Belgium","BE",0
2,1988,1,"Competition","COMP",2,"France","FR",0
3,1988,1,"Competition","COMP",3,"Germany","DE",0
4,1988,1,"Competition","COMP",4,"Italy","IT",0
5,1988,1,"Competition","COMP",5,"Luxembourg","LU",0
6,1988,1,"Competition","COMP",6,"Netherlands","NL",0
7,1988,1,"Competition","COMP",7,"Denmark","DK",0
8,1988,1,"Competition","COMP",8,"Ireland","IE",0
9,1988,1,"Competition","COMP",9,"United Kingdom","UK",0
10,1988,1,"Competition","COMP",10,"Greece","EL",0
11,1988,1,"Competition","COMP",11,"Portugal","PT",0
12,1988,1,"Competition","COMP",12,"Spain","ES",1
13,1988,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",0
14,1988,2,"Agriculture and Rural Development","AGRI",2,"France","FR",0
15,1988,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",0
16,1988,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",0
17,1988,2,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",0
18,1988,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",0
19,1988,2,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",0
20,1988,2,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",0
21,1988,2,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",0
22,1988,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",0
23,1988,2,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",0
24,1988,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",0
25,1988,3,"Maritime Affairs and Fisheries","MARE",1,"Belgium","BE",0
26,1988,3,"Maritime Affairs and Fisheries","MARE",2,"France","FR",0
27,1988,3,"Maritime Affairs and Fisheries","MARE",3,"Germany","DE",0
28,1988,3,"Maritime Affairs and Fisheries","MARE",4,"Italy","IT",0
29,1988,3,"Maritime Affairs and Fisheries","MARE",5,"Luxembourg","LU",0
30,1988,3,"Maritime Affairs and Fisheries","MARE",6,"Netherlands","NL",0
31,1988,3,"Maritime Affairs and Fisheries","MARE",7,"Denmark","DK",0
32,1988,3,"Maritime Affairs and Fisheries","MARE",8,"Ireland","IE",0
33,1988,3,"Maritime Affairs and Fisheries","MARE",9,"United Kingdom","UK",0
34,1988,3,"Maritime Affairs and Fisheries","MARE",10,"Greece","EL",0
35,1988,3,"Maritime Affairs and Fisheries","MARE",11,"Portugal","PT",0
36,1988,3,"Maritime Affairs and Fisheries","MARE",12,"Spain","ES",0
37,1989,1,"Competition","COMP",1,"Belgium","BE",0
38,1989,1,"Competition","COMP",2,"France","FR",0
39,1989,1,"Competition","COMP",3,"Germany","DE",0
40,1989,1,"Competition","COMP",4,"Italy","IT",0
41,1989,1,"Competition","COMP",5,"Luxembourg","LU",0
42,1989,1,"Competition","COMP",6,"Netherlands","NL",0
43,1989,1,"Competition","COMP",7,"Denmark","DK",0
44,1989,1,"Competition","COMP",8,"Ireland","IE",0
45,1989,1,"Competition","COMP",9,"United Kingdom","UK",0
46,1989,1,"Competition","COMP",10,"Greece","EL",0
47,1989,1,"Competition","COMP",11,"Portugal","PT",0
48,1989,1,"Competition","COMP",12,"Spain","ES",0
49,1989,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",0
50,1989,2,"Agriculture and Rural Development","AGRI",2,"France","FR",0
51,1989,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",0
52,1989,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",0
53,1989,2,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",0
54,1989,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",0
55,1989,2,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",0
56,1989,2,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",0
57,1989,2,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",0
58,1989,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",0
59,1989,2,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",0
60,1989,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",0
61,1989,3,"Maritime Affairs and Fisheries","MARE",1,"Belgium","BE",0
62,1989,3,"Maritime Affairs and Fisheries","MARE",2,"France","FR",0
63,1989,3,"Maritime Affairs and Fisheries","MARE",3,"Germany","DE",0
64,1989,3,"Maritime Affairs and Fisheries","MARE",4,"Italy","IT",0
65,1989,3,"Maritime Affairs and Fisheries","MARE",5,"Luxembourg","LU",0
66,1989,3,"Maritime Affairs and Fisheries","MARE",6,"Netherlands","NL",0
67,1989,3,"Maritime Affairs and Fisheries","MARE",7,"Denmark","DK",0
68,1989,3,"Maritime Affairs and Fisheries","MARE",8,"Ireland","IE",0
69,1989,3,"Maritime Affairs and Fisheries","MARE",9,"United Kingdom","UK",0
70,1989,3,"Maritime Affairs and Fisheries","MARE",10,"Greece","EL",0
71,1989,3,"Maritime Affairs and Fisheries","MARE",11,"Portugal","PT",0
72,1989,3,"Maritime Affairs and Fisheries","MARE",12,"Spain","ES",0
73,1990,1,"Competition","COMP",1,"Belgium","BE",0
74,1990,1,"Competition","COMP",2,"France","FR",0
