"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","member_state_ID","member_state","member_state_code","case_type_ID","case_type","count_cases"
35,1988,1,"Competition","COMP",12,"Spain","ES",2,"Individual application",1
440,1992,1,"Competition","COMP",3,"Germany","DE",2,"Individual application",1
442,1992,1,"Competition","COMP",4,"Italy","IT",1,"Scheme",1
541,1993,1,"Competition","COMP",1,"Belgium","BE",1,"Scheme",1
550,1993,1,"Competition","COMP",4,"Italy","IT",1,"Scheme",1
574,1993,1,"Competition","COMP",12,"Spain","ES",1,"Scheme",1
660,1994,1,"Competition","COMP",4,"Italy","IT",3,"Ad hoc",2
694,1994,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",1,"Scheme",1
712,1994,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",1,"Scheme",1
757,1995,1,"Competition","COMP",1,"Belgium","BE",1,"Scheme",1
762,1995,1,"Competition","COMP",2,"France","FR",3,"Ad hoc",1
763,1995,1,"Competition","COMP",3,"Germany","DE",1,"Scheme",1
766,1995,1,"Competition","COMP",4,"Italy","IT",1,"Scheme",1
768,1995,1,"Competition","COMP",4,"Italy","IT",3,"Ad hoc",1
772,1995,1,"Competition","COMP",6,"Netherlands","NL",1,"Scheme",1
781,1995,1,"Competition","COMP",9,"United Kingdom","UK",1,"Scheme",2
792,1995,1,"Competition","COMP",12,"Spain","ES",3,"Ad hoc",2
805,1995,2,"Agriculture and Rural Development","AGRI",2,"France","FR",1,"Scheme",1
808,1995,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",1,"Scheme",1
811,1995,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",1,"Scheme",4
886,1995,3,"Maritime Affairs and Fisheries","MARE",14,"Finland","FI",1,"Scheme",1
895,1996,1,"Competition","COMP",2,"France","FR",1,"Scheme",1
896,1996,1,"Competition","COMP",2,"France","FR",2,"Individual application",1
897,1996,1,"Competition","COMP",2,"France","FR",3,"Ad hoc",3
898,1996,1,"Competition","COMP",3,"Germany","DE",1,"Scheme",1
900,1996,1,"Competition","COMP",3,"Germany","DE",3,"Ad hoc",1
901,1996,1,"Competition","COMP",4,"Italy","IT",1,"Scheme",2
904,1996,1,"Competition","COMP",5,"Luxembourg","LU",1,"Scheme",1
907,1996,1,"Competition","COMP",6,"Netherlands","NL",1,"Scheme",1
910,1996,1,"Competition","COMP",7,"Denmark","DK",1,"Scheme",1
921,1996,1,"Competition","COMP",10,"Greece","EL",3,"Ad hoc",1
934,1996,1,"Competition","COMP",15,"Sweden","SE",1,"Scheme",1
946,1996,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",1,"Scheme",8
970,1996,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",1,"Scheme",1
973,1996,2,"Agriculture and Rural Development","AGRI",13,"Austria","AT",1,"Scheme",1
991,1996,3,"Maritime Affairs and Fisheries","MARE",4,"Italy","IT",1,"Scheme",1
1030,1997,1,"Competition","COMP",2,"France","FR",1,"Scheme",1
1032,1997,1,"Competition","COMP",2,"France","FR",3,"Ad hoc",2
