"key_ID","year","member_state_ID","member_state","member_state_code","decision_type_ID","decision_type","count_decisions"
1,1988,1,"Belgium","BE",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
2,1988,1,"Belgium","BE",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
3,1988,1,"Belgium","BE",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
4,1988,1,"Belgium","BE",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
5,1988,1,"Belgium","BE",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
6,1988,1,"Belgium","BE",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
7,1988,1,"Belgium","BE",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
8,1988,1,"Belgium","BE",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
9,1988,1,"Belgium","BE",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
10,1988,1,"Belgium","BE",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
11,1988,1,"Belgium","BE",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
12,1988,1,"Belgium","BE",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
13,1988,1,"Belgium","BE",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
14,1988,1,"Belgium","BE",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
15,1988,1,"Belgium","BE",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
16,1988,1,"Belgium","BE",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
17,1988,1,"Belgium","BE",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
18,1988,1,"Belgium","BE",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
19,1988,1,"Belgium","BE",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
20,1988,1,"Belgium","BE",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
21,1988,2,"France","FR",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
22,1988,2,"France","FR",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
23,1988,2,"France","FR",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
24,1988,2,"France","FR",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
25,1988,2,"France","FR",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
26,1988,2,"France","FR",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
27,1988,2,"France","FR",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
28,1988,2,"France","FR",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
29,1988,2,"France","FR",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
30,1988,2,"France","FR",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
31,1988,2,"France","FR",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
32,1988,2,"France","FR",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
33,1988,2,"France","FR",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
34,1988,2,"France","FR",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
35,1988,2,"France","FR",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
36,1988,2,"France","FR",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
37,1988,2,"France","FR",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
38,1988,2,"France","FR",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
39,1988,2,"France","FR",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
40,1988,2,"France","FR",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
41,1988,3,"Germany","DE",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
42,1988,3,"Germany","DE",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
43,1988,3,"Germany","DE",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
44,1988,3,"Germany","DE",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
45,1988,3,"Germany","DE",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
46,1988,3,"Germany","DE",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
47,1988,3,"Germany","DE",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
48,1988,3,"Germany","DE",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
49,1988,3,"Germany","DE",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
50,1988,3,"Germany","DE",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
51,1988,3,"Germany","DE",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
52,1988,3,"Germany","DE",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
53,1988,3,"Germany","DE",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
54,1988,3,"Germany","DE",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
55,1988,3,"Germany","DE",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
56,1988,3,"Germany","DE",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
57,1988,3,"Germany","DE",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
58,1988,3,"Germany","DE",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
