"key_ID","NACE_sector_ID","NACE_sector_code","NACE_sector","NACE_code","NACE_description"
1,1,"A","agriculture, forestry and fishing","A","agriculture, forestry and fishing"
2,1,"A","agriculture, forestry and fishing","A1","crop and animal production, hunting and related service activities"
3,1,"A","agriculture, forestry and fishing","A1.1","growing of non-perennial crops"
4,1,"A","agriculture, forestry and fishing","A1.1.1","growing of cereals (except rice), leguminous crops and oil seeds"
5,1,"A","agriculture, forestry and fishing","A1.1.2","growing of rice"
6,1,"A","agriculture, forestry and fishing","A1.1.3","growing of vegetables and melons, roots and tubers"
7,1,"A","agriculture, forestry and fishing","A1.1.4","growing of sugar cane"
8,1,"A","agriculture, forestry and fishing","A1.1.5","growing of tobacco"
9,1,"A","agriculture, forestry and fishing","A1.1.6","growing of fibre crops"
10,1,"A","agriculture, forestry and fishing","A1.1.9","growing of other non-perennial crops"
11,1,"A","agriculture, forestry and fishing","A1.2","growing of perennial crops"
12,1,"A","agriculture, forestry and fishing","A1.2.1","growing of grapes"
13,1,"A","agriculture, forestry and fishing","A1.2.2","growing of tropical and subtropical fruits"
14,1,"A","agriculture, forestry and fishing","A1.2.3","growing of citrus fruits"
15,1,"A","agriculture, forestry and fishing","A1.2.4","growing of pome fruits and stone fruits"
16,1,"A","agriculture, forestry and fishing","A1.2.5","growing of other tree and bush fruits and nuts"
17,1,"A","agriculture, forestry and fishing","A1.2.6","growing of oleaginous fruits"
18,1,"A","agriculture, forestry and fishing","A1.2.7","growing of beverage crops"
19,1,"A","agriculture, forestry and fishing","A1.2.8","growing of spices, aromatic, drug and pharmaceutical crops"
20,1,"A","agriculture, forestry and fishing","A1.2.9","growing of other perennial crops"
21,1,"A","agriculture, forestry and fishing","A1.3","plant propagation"
22,1,"A","agriculture, forestry and fishing","A1.4","animal production"
23,1,"A","agriculture, forestry and fishing","A1.4.1","raising of dairy cattle"
24,1,"A","agriculture, forestry and fishing","A1.4.2","raising of other cattle and buffaloes"
25,1,"A","agriculture, forestry and fishing","A1.4.3","raising of horses and other equines"
