"key_ID","year","member_state_ID","member_state","member_state_code","aid_instrument_ID","aid_instrument","count_awards","total_amount_euros"
1,2016,1,"Belgium","BE",1,"direct grant",71,93352000
2,2016,1,"Belgium","BE",2,"guarantee",0,0
3,2016,1,"Belgium","BE",3,"interest rate subsidy",289,485611000
4,2016,1,"Belgium","BE",4,"loan",28,43165000
5,2016,1,"Belgium","BE",5,"provision of risk capital",0,0
6,2016,1,"Belgium","BE",6,"provision of risk finance",0,0
7,2016,1,"Belgium","BE",7,"reduction of social security contributions",0,0
8,2016,1,"Belgium","BE",8,"reimbursable grant",0,0
9,2016,1,"Belgium","BE",9,"soft loan",0,0
10,2016,1,"Belgium","BE",10,"subsidised services",0,0
11,2016,1,"Belgium","BE",11,"tax advantage or tax exemption",18,8277000
12,2016,1,"Belgium","BE",12,"tax allowance",0,0
13,2016,1,"Belgium","BE",13,"tax base reduction",0,0
14,2016,1,"Belgium","BE",14,"tax rate reduction",0,0
15,2016,1,"Belgium","BE",15,"other",0,0
16,2016,2,"France","FR",1,"direct grant",237,1328411000
17,2016,2,"France","FR",2,"guarantee",0,0
18,2016,2,"France","FR",3,"interest rate subsidy",510,788355000
19,2016,2,"France","FR",4,"loan",219,263175000
20,2016,2,"France","FR",5,"provision of risk capital",0,0
21,2016,2,"France","FR",6,"provision of risk finance",0,0
22,2016,2,"France","FR",7,"reduction of social security contributions",0,0
23,2016,2,"France","FR",8,"reimbursable grant",0,0
24,2016,2,"France","FR",9,"soft loan",4,6992000
25,2016,2,"France","FR",10,"subsidised services",0,0
26,2016,2,"France","FR",11,"tax advantage or tax exemption",5,4500000
27,2016,2,"France","FR",12,"tax allowance",0,0
28,2016,2,"France","FR",13,"tax base reduction",0,0
29,2016,2,"France","FR",14,"tax rate reduction",0,0
30,2016,2,"France","FR",15,"other",4,2152000
31,2016,3,"Germany","DE",1,"direct grant",355,467550000
32,2016,3,"Germany","DE",2,"guarantee",0,0
33,2016,3,"Germany","DE",3,"interest rate subsidy",680,1076110000
34,2016,3,"Germany","DE",4,"loan",10,7607000
35,2016,3,"Germany","DE",5,"provision of risk capital",0,0
36,2016,3,"Germany","DE",6,"provision of risk finance",6,2920000
37,2016,3,"Germany","DE",7,"reduction of social security contributions",0,0
38,2016,3,"Germany","DE",8,"reimbursable grant",12,9962000
39,2016,3,"Germany","DE",9,"soft loan",9,4387000
40,2016,3,"Germany","DE",10,"subsidised services",2,530000
41,2016,3,"Germany","DE",11,"tax advantage or tax exemption",2756,8124500000
42,2016,3,"Germany","DE",12,"tax allowance",0,0
43,2016,3,"Germany","DE",13,"tax base reduction",0,0
44,2016,3,"Germany","DE",14,"tax rate reduction",27,26000000
45,2016,3,"Germany","DE",15,"other",1628,1100109000
46,2016,4,"Italy","IT",1,"direct grant",2,3801000
47,2016,4,"Italy","IT",2,"guarantee",0,0
48,2016,4,"Italy","IT",3,"interest rate subsidy",188,109243000
49,2016,4,"Italy","IT",4,"loan",75,13405000
50,2016,4,"Italy","IT",5,"provision of risk capital",0,0
51,2016,4,"Italy","IT",6,"provision of risk finance",0,0
52,2016,4,"Italy","IT",7,"reduction of social security contributions",0,0
53,2016,4,"Italy","IT",8,"reimbursable grant",0,0
54,2016,4,"Italy","IT",9,"soft loan",0,0
55,2016,4,"Italy","IT",10,"subsidised services",0,0
56,2016,4,"Italy","IT",11,"tax advantage or tax exemption",0,0
57,2016,4,"Italy","IT",12,"tax allowance",0,0
58,2016,4,"Italy","IT",13,"tax base reduction",0,0
59,2016,4,"Italy","IT",14,"tax rate reduction",0,0
60,2016,4,"Italy","IT",15,"other",3,1179000
61,2016,5,"Luxembourg","LU",1,"direct grant",1,530000
62,2016,5,"Luxembourg","LU",2,"guarantee",0,0
63,2016,5,"Luxembourg","LU",3,"interest rate subsidy",24,37056000
64,2016,5,"Luxembourg","LU",4,"loan",0,0
65,2016,5,"Luxembourg","LU",5,"provision of risk capital",0,0
66,2016,5,"Luxembourg","LU",6,"provision of risk finance",0,0
67,2016,5,"Luxembourg","LU",7,"reduction of social security contributions",0,0
68,2016,5,"Luxembourg","LU",8,"reimbursable grant",0,0
69,2016,5,"Luxembourg","LU",9,"soft loan",0,0
70,2016,5,"Luxembourg","LU",10,"subsidised services",0,0
71,2016,5,"Luxembourg","LU",11,"tax advantage or tax exemption",0,0
72,2016,5,"Luxembourg","LU",12,"tax allowance",0,0
73,2016,5,"Luxembourg","LU",13,"tax base reduction",0,0
74,2016,5,"Luxembourg","LU",14,"tax rate reduction",0,0
75,2016,5,"Luxembourg","LU",15,"other",2,51903000
76,2016,6,"Netherlands","NL",1,"direct grant",427,8371857000
77,2016,6,"Netherlands","NL",2,"guarantee",2,1012000
78,2016,6,"Netherlands","NL",3,"interest rate subsidy",90,141905000
79,2016,6,"Netherlands","NL",4,"loan",0,0
80,2016,6,"Netherlands","NL",5,"provision of risk capital",0,0
81,2016,6,"Netherlands","NL",6,"provision of risk finance",0,0
82,2016,6,"Netherlands","NL",7,"reduction of social security contributions",0,0
83,2016,6,"Netherlands","NL",8,"reimbursable grant",0,0
84,2016,6,"Netherlands","NL",9,"soft loan",0,0
85,2016,6,"Netherlands","NL",10,"subsidised services",6,1438000
86,2016,6,"Netherlands","NL",11,"tax advantage or tax exemption",9,8060000
87,2016,6,"Netherlands","NL",12,"tax allowance",0,0
88,2016,6,"Netherlands","NL",13,"tax base reduction",32,8960000
89,2016,6,"Netherlands","NL",14,"tax rate reduction",0,0
90,2016,6,"Netherlands","NL",15,"other",1,3500000
91,2016,7,"Denmark","DK",1,"direct grant",34,45156000
92,2016,7,"Denmark","DK",2,"guarantee",0,0
93,2016,7,"Denmark","DK",3,"interest rate subsidy",53,62853000
94,2016,7,"Denmark","DK",4,"loan",11,5030000
95,2016,7,"Denmark","DK",5,"provision of risk capital",0,0
96,2016,7,"Denmark","DK",6,"provision of risk finance",6,361000
97,2016,7,"Denmark","DK",7,"reduction of social security contributions",0,0
98,2016,7,"Denmark","DK",8,"reimbursable grant",0,0
99,2016,7,"Denmark","DK",9,"soft loan",0,0
100,2016,7,"Denmark","DK",10,"subsidised services",0,0
101,2016,7,"Denmark","DK",11,"tax advantage or tax exemption",180,394376000
102,2016,7,"Denmark","DK",12,"tax allowance",0,0
103,2016,7,"Denmark","DK",13,"tax base reduction",0,0
104,2016,7,"Denmark","DK",14,"tax rate reduction",1,13000
105,2016,7,"Denmark","DK",15,"other",12,20357000
106,2016,8,"Ireland","IE",1,"direct grant",21,3401000
107,2016,8,"Ireland","IE",2,"guarantee",0,0
108,2016,8,"Ireland","IE",3,"interest rate subsidy",29,36488000
109,2016,8,"Ireland","IE",4,"loan",0,0
110,2016,8,"Ireland","IE",5,"provision of risk capital",0,0
111,2016,8,"Ireland","IE",6,"provision of risk finance",0,0
112,2016,8,"Ireland","IE",7,"reduction of social security contributions",0,0
113,2016,8,"Ireland","IE",8,"reimbursable grant",0,0
114,2016,8,"Ireland","IE",9,"soft loan",0,0
115,2016,8,"Ireland","IE",10,"subsidised services",0,0
