"key_ID","year","member_state_ID","member_state","member_state_code","NACE_sector_ID","NACE_sector","NACE_sector_code","count_awards","total_amount_euros"
1,2016,1,"Belgium","BE",1,"agriculture, forestry and fishing","A",1,593000
2,2016,1,"Belgium","BE",2,"mining and quarrying","B",3,1750000
3,2016,1,"Belgium","BE",3,"manufacturing","C",113,119139000
4,2016,1,"Belgium","BE",4,"electricity, gas, steam and air conditioning supply","D",3,26435000
5,2016,1,"Belgium","BE",5,"water supply; sewerage; waste managment and remediation activities","E",1,567000
6,2016,1,"Belgium","BE",6,"construction","F",7,7435000
7,2016,1,"Belgium","BE",7,"wholesale and retail trade; repair of motor vehicles and motorcycles","G",15,19854000
8,2016,1,"Belgium","BE",8,"transporting and storage","H",6,13416000
9,2016,1,"Belgium","BE",9,"accommodation and food service activities","I",5,15261000
10,2016,1,"Belgium","BE",10,"information and communication","J",29,19898000
11,2016,1,"Belgium","BE",11,"financial and insurance activities","K",0,0
12,2016,1,"Belgium","BE",12,"real estate activities","L",8,18402000
13,2016,1,"Belgium","BE",13,"professional, scientific and technical activities","M",60,62041000
14,2016,1,"Belgium","BE",14,"administrative and support service activities","N",6,13798000
15,2016,1,"Belgium","BE",15,"public administration and defence; compulsory social security","O",9,36859000
16,2016,1,"Belgium","BE",16,"education","P",2,667000
17,2016,1,"Belgium","BE",17,"human health and social work activities","Q",6,8454000
18,2016,1,"Belgium","BE",18,"arts, entertainment and recreation","R",127,258034000
19,2016,1,"Belgium","BE",19,"other services activities","S",5,7802000
20,2016,1,"Belgium","BE",20,"activities of households as employers; undifferentiated goods - and services - producing activities of households for own use","T",0,0
21,2016,1,"Belgium","BE",21,"activities of extraterritorial organisations and bodies","U",0,0
22,2016,2,"France","FR",1,"agriculture, forestry and fishing","A",55,35065000
23,2016,2,"France","FR",2,"mining and quarrying","B",1,536000
24,2016,2,"France","FR",3,"manufacturing","C",189,373028000
25,2016,2,"France","FR",4,"electricity, gas, steam and air conditioning supply","D",209,1457611000
26,2016,2,"France","FR",5,"water supply; sewerage; waste managment and remediation activities","E",25,20851000
27,2016,2,"France","FR",6,"construction","F",18,33204000
28,2016,2,"France","FR",7,"wholesale and retail trade; repair of motor vehicles and motorcycles","G",25,7770000
29,2016,2,"France","FR",8,"transporting and storage","H",1,620000
30,2016,2,"France","FR",9,"accommodation and food service activities","I",3,1508000
31,2016,2,"France","FR",10,"information and communication","J",199,134469000
32,2016,2,"France","FR",11,"financial and insurance activities","K",4,37327000
33,2016,2,"France","FR",12,"real estate activities","L",7,10309000
34,2016,2,"France","FR",13,"professional, scientific and technical activities","M",167,191246000
35,2016,2,"France","FR",14,"administrative and support service activities","N",6,5459000
36,2016,2,"France","FR",15,"public administration and defence; compulsory social security","O",9,12617000
37,2016,2,"France","FR",16,"education","P",11,13073000
38,2016,2,"France","FR",17,"human health and social work activities","Q",6,4560000
39,2016,2,"France","FR",18,"arts, entertainment and recreation","R",36,47743000
40,2016,2,"France","FR",19,"other services activities","S",8,6589000
41,2016,2,"France","FR",20,"activities of households as employers; undifferentiated goods - and services - producing activities of households for own use","T",0,0
42,2016,2,"France","FR",21,"activities of extraterritorial organisations and bodies","U",0,0
43,2016,3,"Germany","DE",1,"agriculture, forestry and fishing","A",50,10031000
44,2016,3,"Germany","DE",2,"mining and quarrying","B",190,211750000
45,2016,3,"Germany","DE",3,"manufacturing","C",3863,8142521000
46,2016,3,"Germany","DE",4,"electricity, gas, steam and air conditioning supply","D",290,772004000
47,2016,3,"Germany","DE",5,"water supply; sewerage; waste managment and remediation activities","E",173,162166000
48,2016,3,"Germany","DE",6,"construction","F",12,31181000
49,2016,3,"Germany","DE",7,"wholesale and retail trade; repair of motor vehicles and motorcycles","G",14,12376000
50,2016,3,"Germany","DE",8,"transporting and storage","H",322,744554000
51,2016,3,"Germany","DE",9,"accommodation and food service activities","I",34,57320000
52,2016,3,"Germany","DE",10,"information and communication","J",302,275099000
53,2016,3,"Germany","DE",11,"financial and insurance activities","K",1,677000
54,2016,3,"Germany","DE",12,"real estate activities","L",10,9148000
55,2016,3,"Germany","DE",13,"professional, scientific and technical activities","M",116,101891000
56,2016,3,"Germany","DE",14,"administrative and support service activities","N",14,13317000
57,2016,3,"Germany","DE",15,"public administration and defence; compulsory social security","O",14,41588000
58,2016,3,"Germany","DE",16,"education","P",13,25034000
59,2016,3,"Germany","DE",17,"human health and social work activities","Q",16,17070000
60,2016,3,"Germany","DE",18,"arts, entertainment and recreation","R",45,186345000
61,2016,3,"Germany","DE",19,"other services activities","S",5,4347000
62,2016,3,"Germany","DE",20,"activities of households as employers; undifferentiated goods - and services - producing activities of households for own use","T",0,0
63,2016,3,"Germany","DE",21,"activities of extraterritorial organisations and bodies","U",1,1256000
64,2016,4,"Italy","IT",1,"agriculture, forestry and fishing","A",0,0
65,2016,4,"Italy","IT",2,"mining and quarrying","B",1,3000
66,2016,4,"Italy","IT",3,"manufacturing","C",172,94398000
67,2016,4,"Italy","IT",4,"electricity, gas, steam and air conditioning supply","D",4,1410000
68,2016,4,"Italy","IT",5,"water supply; sewerage; waste managment and remediation activities","E",1,10000
69,2016,4,"Italy","IT",6,"construction","F",2,397000
70,2016,4,"Italy","IT",7,"wholesale and retail trade; repair of motor vehicles and motorcycles","G",4,702000
71,2016,4,"Italy","IT",8,"transporting and storage","H",3,3613000
72,2016,4,"Italy","IT",9,"accommodation and food service activities","I",0,0
73,2016,4,"Italy","IT",10,"information and communication","J",35,18181000
74,2016,4,"Italy","IT",11,"financial and insurance activities","K",0,0
75,2016,4,"Italy","IT",12,"real estate activities","L",0,0
76,2016,4,"Italy","IT",13,"professional, scientific and technical activities","M",35,4884000
77,2016,4,"Italy","IT",14,"administrative and support service activities","N",1,656000
78,2016,4,"Italy","IT",15,"public administration and defence; compulsory social security","O",0,0
79,2016,4,"Italy","IT",16,"education","P",1,83000
80,2016,4,"Italy","IT",17,"human health and social work activities","Q",2,342000
81,2016,4,"Italy","IT",18,"arts, entertainment and recreation","R",7,2949000
82,2016,4,"Italy","IT",19,"other services activities","S",0,0
83,2016,4,"Italy","IT",20,"activities of households as employers; undifferentiated goods - and services - producing activities of households for own use","T",0,0
84,2016,4,"Italy","IT",21,"activities of extraterritorial organisations and bodies","U",0,0
85,2016,5,"Luxembourg","LU",1,"agriculture, forestry and fishing","A",0,0
86,2016,5,"Luxembourg","LU",2,"mining and quarrying","B",0,0
87,2016,5,"Luxembourg","LU",3,"manufacturing","C",19,26781000
88,2016,5,"Luxembourg","LU",4,"electricity, gas, steam and air conditioning supply","D",3,58158000
89,2016,5,"Luxembourg","LU",5,"water supply; sewerage; waste managment and remediation activities","E",2,2076000
90,2016,5,"Luxembourg","LU",6,"construction","F",0,0
91,2016,5,"Luxembourg","LU",7,"wholesale and retail trade; repair of motor vehicles and motorcycles","G",0,0
92,2016,5,"Luxembourg","LU",8,"transporting and storage","H",0,0
93,2016,5,"Luxembourg","LU",9,"accommodation and food service activities","I",0,0
94,2016,5,"Luxembourg","LU",10,"information and communication","J",3,2474000
95,2016,5,"Luxembourg","LU",11,"financial and insurance activities","K",0,0
96,2016,5,"Luxembourg","LU",12,"real estate activities","L",0,0
97,2016,5,"Luxembourg","LU",13,"professional, scientific and technical activities","M",0,0
98,2016,5,"Luxembourg","LU",14,"administrative and support service activities","N",0,0
99,2016,5,"Luxembourg","LU",15,"public administration and defence; compulsory social security","O",0,0
100,2016,5,"Luxembourg","LU",16,"education","P",0,0
101,2016,5,"Luxembourg","LU",17,"human health and social work activities","Q",0,0
102,2016,5,"Luxembourg","LU",18,"arts, entertainment and recreation","R",0,0
103,2016,5,"Luxembourg","LU",19,"other services activities","S",0,0
104,2016,5,"Luxembourg","LU",20,"activities of households as employers; undifferentiated goods - and services - producing activities of households for own use","T",0,0
105,2016,5,"Luxembourg","LU",21,"activities of extraterritorial organisations and bodies","U",0,0
106,2016,6,"Netherlands","NL",1,"agriculture, forestry and fishing","A",144,166456000
107,2016,6,"Netherlands","NL",2,"mining and quarrying","B",8,8461000
108,2016,6,"Netherlands","NL",3,"manufacturing","C",52,199553000
109,2016,6,"Netherlands","NL",4,"electricity, gas, steam and air conditioning supply","D",95,7102307000
110,2016,6,"Netherlands","NL",5,"water supply; sewerage; waste managment and remediation activities","E",10,19355000
111,2016,6,"Netherlands","NL",6,"construction","F",9,12906000
112,2016,6,"Netherlands","NL",7,"wholesale and retail trade; repair of motor vehicles and motorcycles","G",28,188740000
113,2016,6,"Netherlands","NL",8,"transporting and storage","H",16,89421000
114,2016,6,"Netherlands","NL",9,"accommodation and food service activities","I",1,841000
115,2016,6,"Netherlands","NL",10,"information and communication","J",4,2638000
116,2016,6,"Netherlands","NL",11,"financial and insurance activities","K",60,202021000
117,2016,6,"Netherlands","NL",12,"real estate activities","L",28,30540000
118,2016,6,"Netherlands","NL",13,"professional, scientific and technical activities","M",72,445405000
119,2016,6,"Netherlands","NL",14,"administrative and support service activities","N",3,1539000
120,2016,6,"Netherlands","NL",15,"public administration and defence; compulsory social security","O",1,607000
121,2016,6,"Netherlands","NL",16,"education","P",0,0
122,2016,6,"Netherlands","NL",17,"human health and social work activities","Q",10,10220000
123,2016,6,"Netherlands","NL",18,"arts, entertainment and recreation","R",19,37777000
124,2016,6,"Netherlands","NL",19,"other services activities","S",7,17945000
125,2016,6,"Netherlands","NL",20,"activities of households as employers; undifferentiated goods - and services - producing activities of households for own use","T",0,0
126,2016,6,"Netherlands","NL",21,"activities of extraterritorial organisations and bodies","U",0,0
127,2016,7,"Denmark","DK",1,"agriculture, forestry and fishing","A",19,10660000
128,2016,7,"Denmark","DK",2,"mining and quarrying","B",3,4370000
129,2016,7,"Denmark","DK",3,"manufacturing","C",126,251807000
130,2016,7,"Denmark","DK",4,"electricity, gas, steam and air conditioning supply","D",23,32992000
131,2016,7,"Denmark","DK",5,"water supply; sewerage; waste managment and remediation activities","E",16,12224000
132,2016,7,"Denmark","DK",6,"construction","F",2,2171000
133,2016,7,"Denmark","DK",7,"wholesale and retail trade; repair of motor vehicles and motorcycles","G",28,72650000
134,2016,7,"Denmark","DK",8,"transporting and storage","H",12,41987000
135,2016,7,"Denmark","DK",9,"accommodation and food service activities","I",2,439000
136,2016,7,"Denmark","DK",10,"information and communication","J",30,49632000
137,2016,7,"Denmark","DK",11,"financial and insurance activities","K",1,2533000
138,2016,7,"Denmark","DK",12,"real estate activities","L",2,10187000
139,2016,7,"Denmark","DK",13,"professional, scientific and technical activities","M",22,21196000
140,2016,7,"Denmark","DK",14,"administrative and support service activities","N",2,3172000
141,2016,7,"Denmark","DK",15,"public administration and defence; compulsory social security","O",2,3530000
142,2016,7,"Denmark","DK",16,"education","P",6,7935000
143,2016,7,"Denmark","DK",17,"human health and social work activities","Q",1,661000
144,2016,7,"Denmark","DK",18,"arts, entertainment and recreation","R",0,0
145,2016,7,"Denmark","DK",19,"other services activities","S",0,0
146,2016,7,"Denmark","DK",20,"activities of households as employers; undifferentiated goods - and services - producing activities of households for own use","T",0,0
147,2016,7,"Denmark","DK",21,"activities of extraterritorial organisations and bodies","U",0,0
148,2016,8,"Ireland","IE",1,"agriculture, forestry and fishing","A",24,4905000
149,2016,8,"Ireland","IE",2,"mining and quarrying","B",0,0
150,2016,8,"Ireland","IE",3,"manufacturing","C",14,22098000
151,2016,8,"Ireland","IE",4,"electricity, gas, steam and air conditioning supply","D",2,0
152,2016,8,"Ireland","IE",5,"water supply; sewerage; waste managment and remediation activities","E",0,0
153,2016,8,"Ireland","IE",6,"construction","F",0,0
154,2016,8,"Ireland","IE",7,"wholesale and retail trade; repair of motor vehicles and motorcycles","G",2,840000
155,2016,8,"Ireland","IE",8,"transporting and storage","H",0,0
156,2016,8,"Ireland","IE",9,"accommodation and food service activities","I",0,0
157,2016,8,"Ireland","IE",10,"information and communication","J",25,34535000
158,2016,8,"Ireland","IE",11,"financial and insurance activities","K",27,311470000
159,2016,8,"Ireland","IE",12,"real estate activities","L",0,0
160,2016,8,"Ireland","IE",13,"professional, scientific and technical activities","M",0,0
161,2016,8,"Ireland","IE",14,"administrative and support service activities","N",1,670000
162,2016,8,"Ireland","IE",15,"public administration and defence; compulsory social security","O",0,0
163,2016,8,"Ireland","IE",16,"education","P",0,0
164,2016,8,"Ireland","IE",17,"human health and social work activities","Q",0,0
165,2016,8,"Ireland","IE",18,"arts, entertainment and recreation","R",0,0
166,2016,8,"Ireland","IE",19,"other services activities","S",0,0
167,2016,8,"Ireland","IE",20,"activities of households as employers; undifferentiated goods - and services - producing activities of households for own use","T",0,0
168,2016,8,"Ireland","IE",21,"activities of extraterritorial organisations and bodies","U",0,0
169,2016,9,"United Kingdom","UK",1,"agriculture, forestry and fishing","A",26,9121000
170,2016,9,"United Kingdom","UK",2,"mining and quarrying","B",0,0
171,2016,9,"United Kingdom","UK",3,"manufacturing","C",58,102656000
172,2016,9,"United Kingdom","UK",4,"electricity, gas, steam and air conditioning supply","D",165,2358299000
173,2016,9,"United Kingdom","UK",5,"water supply; sewerage; waste managment and remediation activities","E",2,1319000
174,2016,9,"United Kingdom","UK",6,"construction","F",20,42158000
175,2016,9,"United Kingdom","UK",7,"wholesale and retail trade; repair of motor vehicles and motorcycles","G",0,0
176,2016,9,"United Kingdom","UK",8,"transporting and storage","H",14,44560000
177,2016,9,"United Kingdom","UK",9,"accommodation and food service activities","I",3,1913000
178,2016,9,"United Kingdom","UK",10,"information and communication","J",132,470064000
179,2016,9,"United Kingdom","UK",11,"financial and insurance activities","K",5,5872000
180,2016,9,"United Kingdom","UK",12,"real estate activities","L",0,0
181,2016,9,"United Kingdom","UK",13,"professional, scientific and technical activities","M",162,274414000
182,2016,9,"United Kingdom","UK",14,"administrative and support service activities","N",1,1211000
183,2016,9,"United Kingdom","UK",15,"public administration and defence; compulsory social security","O",0,0
184,2016,9,"United Kingdom","UK",16,"education","P",1,8923000
185,2016,9,"United Kingdom","UK",17,"human health and social work activities","Q",2,1500000
186,2016,9,"United Kingdom","UK",18,"arts, entertainment and recreation","R",33,84456000
