"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","member_state_ID","member_state","member_state_code","case_type_ID","case_type","count_cases"
1,1988,1,"Competition","COMP",1,"Belgium","BE",1,"Scheme",0
2,1988,1,"Competition","COMP",1,"Belgium","BE",2,"Individual application",0
3,1988,1,"Competition","COMP",1,"Belgium","BE",3,"Ad hoc",0
4,1988,1,"Competition","COMP",2,"France","FR",1,"Scheme",0
5,1988,1,"Competition","COMP",2,"France","FR",2,"Individual application",0
6,1988,1,"Competition","COMP",2,"France","FR",3,"Ad hoc",0
7,1988,1,"Competition","COMP",3,"Germany","DE",1,"Scheme",0
8,1988,1,"Competition","COMP",3,"Germany","DE",2,"Individual application",0
9,1988,1,"Competition","COMP",3,"Germany","DE",3,"Ad hoc",0
10,1988,1,"Competition","COMP",4,"Italy","IT",1,"Scheme",0
11,1988,1,"Competition","COMP",4,"Italy","IT",2,"Individual application",0
12,1988,1,"Competition","COMP",4,"Italy","IT",3,"Ad hoc",0
13,1988,1,"Competition","COMP",5,"Luxembourg","LU",1,"Scheme",0
14,1988,1,"Competition","COMP",5,"Luxembourg","LU",2,"Individual application",0
15,1988,1,"Competition","COMP",5,"Luxembourg","LU",3,"Ad hoc",0
16,1988,1,"Competition","COMP",6,"Netherlands","NL",1,"Scheme",0
17,1988,1,"Competition","COMP",6,"Netherlands","NL",2,"Individual application",0
18,1988,1,"Competition","COMP",6,"Netherlands","NL",3,"Ad hoc",0
19,1988,1,"Competition","COMP",7,"Denmark","DK",1,"Scheme",0
20,1988,1,"Competition","COMP",7,"Denmark","DK",2,"Individual application",0
21,1988,1,"Competition","COMP",7,"Denmark","DK",3,"Ad hoc",0
22,1988,1,"Competition","COMP",8,"Ireland","IE",1,"Scheme",0
23,1988,1,"Competition","COMP",8,"Ireland","IE",2,"Individual application",0
24,1988,1,"Competition","COMP",8,"Ireland","IE",3,"Ad hoc",0
25,1988,1,"Competition","COMP",9,"United Kingdom","UK",1,"Scheme",0
26,1988,1,"Competition","COMP",9,"United Kingdom","UK",2,"Individual application",0
27,1988,1,"Competition","COMP",9,"United Kingdom","UK",3,"Ad hoc",0
28,1988,1,"Competition","COMP",10,"Greece","EL",1,"Scheme",0
29,1988,1,"Competition","COMP",10,"Greece","EL",2,"Individual application",0
30,1988,1,"Competition","COMP",10,"Greece","EL",3,"Ad hoc",0
31,1988,1,"Competition","COMP",11,"Portugal","PT",1,"Scheme",0
32,1988,1,"Competition","COMP",11,"Portugal","PT",2,"Individual application",0
33,1988,1,"Competition","COMP",11,"Portugal","PT",3,"Ad hoc",0
34,1988,1,"Competition","COMP",12,"Spain","ES",1,"Scheme",0
35,1988,1,"Competition","COMP",12,"Spain","ES",2,"Individual application",1
36,1988,1,"Competition","COMP",12,"Spain","ES",3,"Ad hoc",0
37,1988,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",1,"Scheme",0
38,1988,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",2,"Individual application",0
39,1988,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",3,"Ad hoc",0
40,1988,2,"Agriculture and Rural Development","AGRI",2,"France","FR",1,"Scheme",0
41,1988,2,"Agriculture and Rural Development","AGRI",2,"France","FR",2,"Individual application",0
42,1988,2,"Agriculture and Rural Development","AGRI",2,"France","FR",3,"Ad hoc",0
43,1988,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",1,"Scheme",0
44,1988,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",2,"Individual application",0
45,1988,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",3,"Ad hoc",0
46,1988,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",1,"Scheme",0
47,1988,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",2,"Individual application",0
48,1988,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",3,"Ad hoc",0
49,1988,2,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",1,"Scheme",0
50,1988,2,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",2,"Individual application",0
51,1988,2,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",3,"Ad hoc",0
52,1988,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",1,"Scheme",0
53,1988,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",2,"Individual application",0
54,1988,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",3,"Ad hoc",0
55,1988,2,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",1,"Scheme",0
56,1988,2,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",2,"Individual application",0
57,1988,2,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",3,"Ad hoc",0
58,1988,2,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",1,"Scheme",0
59,1988,2,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",2,"Individual application",0
60,1988,2,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",3,"Ad hoc",0
61,1988,2,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",1,"Scheme",0
62,1988,2,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",2,"Individual application",0
63,1988,2,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",3,"Ad hoc",0
64,1988,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",1,"Scheme",0
65,1988,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",2,"Individual application",0
66,1988,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",3,"Ad hoc",0
67,1988,2,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",1,"Scheme",0
68,1988,2,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",2,"Individual application",0
69,1988,2,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",3,"Ad hoc",0
70,1988,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",1,"Scheme",0
71,1988,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",2,"Individual application",0
72,1988,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",3,"Ad hoc",0
73,1988,3,"Maritime Affairs and Fisheries","MARE",1,"Belgium","BE",1,"Scheme",0
74,1988,3,"Maritime Affairs and Fisheries","MARE",1,"Belgium","BE",2,"Individual application",0
75,1988,3,"Maritime Affairs and Fisheries","MARE",1,"Belgium","BE",3,"Ad hoc",0
76,1988,3,"Maritime Affairs and Fisheries","MARE",2,"France","FR",1,"Scheme",0
77,1988,3,"Maritime Affairs and Fisheries","MARE",2,"France","FR",2,"Individual application",0
78,1988,3,"Maritime Affairs and Fisheries","MARE",2,"France","FR",3,"Ad hoc",0
79,1988,3,"Maritime Affairs and Fisheries","MARE",3,"Germany","DE",1,"Scheme",0
80,1988,3,"Maritime Affairs and Fisheries","MARE",3,"Germany","DE",2,"Individual application",0
81,1988,3,"Maritime Affairs and Fisheries","MARE",3,"Germany","DE",3,"Ad hoc",0
82,1988,3,"Maritime Affairs and Fisheries","MARE",4,"Italy","IT",1,"Scheme",0
83,1988,3,"Maritime Affairs and Fisheries","MARE",4,"Italy","IT",2,"Individual application",0
84,1988,3,"Maritime Affairs and Fisheries","MARE",4,"Italy","IT",3,"Ad hoc",0
85,1988,3,"Maritime Affairs and Fisheries","MARE",5,"Luxembourg","LU",1,"Scheme",0
86,1988,3,"Maritime Affairs and Fisheries","MARE",5,"Luxembourg","LU",2,"Individual application",0
87,1988,3,"Maritime Affairs and Fisheries","MARE",5,"Luxembourg","LU",3,"Ad hoc",0
88,1988,3,"Maritime Affairs and Fisheries","MARE",6,"Netherlands","NL",1,"Scheme",0
89,1988,3,"Maritime Affairs and Fisheries","MARE",6,"Netherlands","NL",2,"Individual application",0
90,1988,3,"Maritime Affairs and Fisheries","MARE",6,"Netherlands","NL",3,"Ad hoc",0
91,1988,3,"Maritime Affairs and Fisheries","MARE",7,"Denmark","DK",1,"Scheme",0
92,1988,3,"Maritime Affairs and Fisheries","MARE",7,"Denmark","DK",2,"Individual application",0
93,1988,3,"Maritime Affairs and Fisheries","MARE",7,"Denmark","DK",3,"Ad hoc",0
94,1988,3,"Maritime Affairs and Fisheries","MARE",8,"Ireland","IE",1,"Scheme",0
95,1988,3,"Maritime Affairs and Fisheries","MARE",8,"Ireland","IE",2,"Individual application",0
96,1988,3,"Maritime Affairs and Fisheries","MARE",8,"Ireland","IE",3,"Ad hoc",0
97,1988,3,"Maritime Affairs and Fisheries","MARE",9,"United Kingdom","UK",1,"Scheme",0
98,1988,3,"Maritime Affairs and Fisheries","MARE",9,"United Kingdom","UK",2,"Individual application",0
99,1988,3,"Maritime Affairs and Fisheries","MARE",9,"United Kingdom","UK",3,"Ad hoc",0
100,1988,3,"Maritime Affairs and Fisheries","MARE",10,"Greece","EL",1,"Scheme",0
101,1988,3,"Maritime Affairs and Fisheries","MARE",10,"Greece","EL",2,"Individual application",0
102,1988,3,"Maritime Affairs and Fisheries","MARE",10,"Greece","EL",3,"Ad hoc",0
103,1988,3,"Maritime Affairs and Fisheries","MARE",11,"Portugal","PT",1,"Scheme",0
104,1988,3,"Maritime Affairs and Fisheries","MARE",11,"Portugal","PT",2,"Individual application",0
105,1988,3,"Maritime Affairs and Fisheries","MARE",11,"Portugal","PT",3,"Ad hoc",0
106,1988,3,"Maritime Affairs and Fisheries","MARE",12,"Spain","ES",1,"Scheme",0
107,1988,3,"Maritime Affairs and Fisheries","MARE",12,"Spain","ES",2,"Individual application",0
108,1988,3,"Maritime Affairs and Fisheries","MARE",12,"Spain","ES",3,"Ad hoc",0
109,1989,1,"Competition","COMP",1,"Belgium","BE",1,"Scheme",0
110,1989,1,"Competition","COMP",1,"Belgium","BE",2,"Individual application",0
111,1989,1,"Competition","COMP",1,"Belgium","BE",3,"Ad hoc",0
112,1989,1,"Competition","COMP",2,"France","FR",1,"Scheme",0
113,1989,1,"Competition","COMP",2,"France","FR",2,"Individual application",0
114,1989,1,"Competition","COMP",2,"France","FR",3,"Ad hoc",0
115,1989,1,"Competition","COMP",3,"Germany","DE",1,"Scheme",0
116,1989,1,"Competition","COMP",3,"Germany","DE",2,"Individual application",0
117,1989,1,"Competition","COMP",3,"Germany","DE",3,"Ad hoc",0
118,1989,1,"Competition","COMP",4,"Italy","IT",1,"Scheme",0
119,1989,1,"Competition","COMP",4,"Italy","IT",2,"Individual application",0
120,1989,1,"Competition","COMP",4,"Italy","IT",3,"Ad hoc",0
121,1989,1,"Competition","COMP",5,"Luxembourg","LU",1,"Scheme",0
122,1989,1,"Competition","COMP",5,"Luxembourg","LU",2,"Individual application",0
123,1989,1,"Competition","COMP",5,"Luxembourg","LU",3,"Ad hoc",0
124,1989,1,"Competition","COMP",6,"Netherlands","NL",1,"Scheme",0
125,1989,1,"Competition","COMP",6,"Netherlands","NL",2,"Individual application",0
126,1989,1,"Competition","COMP",6,"Netherlands","NL",3,"Ad hoc",0
127,1989,1,"Competition","COMP",7,"Denmark","DK",1,"Scheme",0
128,1989,1,"Competition","COMP",7,"Denmark","DK",2,"Individual application",0
129,1989,1,"Competition","COMP",7,"Denmark","DK",3,"Ad hoc",0
130,1989,1,"Competition","COMP",8,"Ireland","IE",1,"Scheme",0
131,1989,1,"Competition","COMP",8,"Ireland","IE",2,"Individual application",0
132,1989,1,"Competition","COMP",8,"Ireland","IE",3,"Ad hoc",0
133,1989,1,"Competition","COMP",9,"United Kingdom","UK",1,"Scheme",0
134,1989,1,"Competition","COMP",9,"United Kingdom","UK",2,"Individual application",0
