"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","decision_type_ID","decision_type","count_decisions"
1,1988,1,"Competition","COMP",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
2,1988,1,"Competition","COMP",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
3,1988,1,"Competition","COMP",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
4,1988,1,"Competition","COMP",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
5,1988,1,"Competition","COMP",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
6,1988,1,"Competition","COMP",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
7,1988,1,"Competition","COMP",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
8,1988,1,"Competition","COMP",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
9,1988,1,"Competition","COMP",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
10,1988,1,"Competition","COMP",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
11,1988,1,"Competition","COMP",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
12,1988,1,"Competition","COMP",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
13,1988,1,"Competition","COMP",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
14,1988,1,"Competition","COMP",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
15,1988,1,"Competition","COMP",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
16,1988,1,"Competition","COMP",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
17,1988,1,"Competition","COMP",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
18,1988,1,"Competition","COMP",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
19,1988,1,"Competition","COMP",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",1
20,1988,1,"Competition","COMP",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
21,1988,2,"Agriculture and Rural Development","AGRI",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
22,1988,2,"Agriculture and Rural Development","AGRI",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
23,1988,2,"Agriculture and Rural Development","AGRI",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
24,1988,2,"Agriculture and Rural Development","AGRI",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
25,1988,2,"Agriculture and Rural Development","AGRI",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
26,1988,2,"Agriculture and Rural Development","AGRI",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
27,1988,2,"Agriculture and Rural Development","AGRI",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
28,1988,2,"Agriculture and Rural Development","AGRI",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
29,1988,2,"Agriculture and Rural Development","AGRI",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
30,1988,2,"Agriculture and Rural Development","AGRI",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
31,1988,2,"Agriculture and Rural Development","AGRI",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
32,1988,2,"Agriculture and Rural Development","AGRI",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
33,1988,2,"Agriculture and Rural Development","AGRI",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
34,1988,2,"Agriculture and Rural Development","AGRI",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
35,1988,2,"Agriculture and Rural Development","AGRI",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
36,1988,2,"Agriculture and Rural Development","AGRI",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
37,1988,2,"Agriculture and Rural Development","AGRI",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
38,1988,2,"Agriculture and Rural Development","AGRI",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
39,1988,2,"Agriculture and Rural Development","AGRI",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
40,1988,2,"Agriculture and Rural Development","AGRI",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
41,1988,3,"Maritime Affairs and Fisheries","MARE",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
42,1988,3,"Maritime Affairs and Fisheries","MARE",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
43,1988,3,"Maritime Affairs and Fisheries","MARE",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
44,1988,3,"Maritime Affairs and Fisheries","MARE",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
45,1988,3,"Maritime Affairs and Fisheries","MARE",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
46,1988,3,"Maritime Affairs and Fisheries","MARE",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
47,1988,3,"Maritime Affairs and Fisheries","MARE",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
48,1988,3,"Maritime Affairs and Fisheries","MARE",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
49,1988,3,"Maritime Affairs and Fisheries","MARE",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
50,1988,3,"Maritime Affairs and Fisheries","MARE",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
51,1988,3,"Maritime Affairs and Fisheries","MARE",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
52,1988,3,"Maritime Affairs and Fisheries","MARE",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
