"key_ID","year","case_type_ID","case_type","decision_type_ID","decision_type","count_cases"
1,1988,1,"Scheme",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
2,1988,1,"Scheme",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
3,1988,1,"Scheme",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
4,1988,1,"Scheme",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
5,1988,1,"Scheme",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
6,1988,1,"Scheme",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
7,1988,1,"Scheme",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
8,1988,1,"Scheme",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
9,1988,1,"Scheme",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
10,1988,1,"Scheme",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
11,1988,1,"Scheme",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
12,1988,1,"Scheme",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
13,1988,1,"Scheme",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
14,1988,1,"Scheme",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
15,1988,1,"Scheme",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
16,1988,1,"Scheme",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
17,1988,1,"Scheme",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
18,1988,1,"Scheme",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
19,1988,1,"Scheme",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
20,1988,1,"Scheme",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
21,1988,2,"Individual application",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
22,1988,2,"Individual application",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
23,1988,2,"Individual application",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
24,1988,2,"Individual application",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
25,1988,2,"Individual application",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
26,1988,2,"Individual application",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
27,1988,2,"Individual application",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
28,1988,2,"Individual application",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
29,1988,2,"Individual application",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
30,1988,2,"Individual application",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
31,1988,2,"Individual application",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
32,1988,2,"Individual application",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
33,1988,2,"Individual application",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
34,1988,2,"Individual application",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
35,1988,2,"Individual application",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
36,1988,2,"Individual application",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
37,1988,2,"Individual application",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
38,1988,2,"Individual application",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
39,1988,2,"Individual application",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",1
40,1988,2,"Individual application",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
41,1988,3,"Ad hoc",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
42,1988,3,"Ad hoc",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
43,1988,3,"Ad hoc",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
44,1988,3,"Ad hoc",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
45,1988,3,"Ad hoc",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
46,1988,3,"Ad hoc",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
47,1988,3,"Ad hoc",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
48,1988,3,"Ad hoc",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
49,1988,3,"Ad hoc",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
50,1988,3,"Ad hoc",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
51,1988,3,"Ad hoc",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
52,1988,3,"Ad hoc",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
53,1988,3,"Ad hoc",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
54,1988,3,"Ad hoc",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
55,1988,3,"Ad hoc",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
56,1988,3,"Ad hoc",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
57,1988,3,"Ad hoc",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
58,1988,3,"Ad hoc",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
59,1988,3,"Ad hoc",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
60,1988,3,"Ad hoc",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
61,1989,1,"Scheme",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
62,1989,1,"Scheme",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
63,1989,1,"Scheme",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
64,1989,1,"Scheme",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
65,1989,1,"Scheme",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
66,1989,1,"Scheme",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
67,1989,1,"Scheme",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
68,1989,1,"Scheme",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
69,1989,1,"Scheme",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
70,1989,1,"Scheme",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
71,1989,1,"Scheme",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
72,1989,1,"Scheme",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
73,1989,1,"Scheme",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
74,1989,1,"Scheme",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
75,1989,1,"Scheme",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
76,1989,1,"Scheme",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
77,1989,1,"Scheme",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
78,1989,1,"Scheme",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
79,1989,1,"Scheme",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
80,1989,1,"Scheme",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
81,1989,2,"Individual application",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
82,1989,2,"Individual application",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
83,1989,2,"Individual application",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
84,1989,2,"Individual application",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
85,1989,2,"Individual application",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
86,1989,2,"Individual application",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
87,1989,2,"Individual application",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
88,1989,2,"Individual application",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
89,1989,2,"Individual application",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
90,1989,2,"Individual application",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
91,1989,2,"Individual application",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
92,1989,2,"Individual application",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
93,1989,2,"Individual application",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
94,1989,2,"Individual application",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
95,1989,2,"Individual application",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
96,1989,2,"Individual application",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
97,1989,2,"Individual application",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
98,1989,2,"Individual application",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
99,1989,2,"Individual application",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
100,1989,2,"Individual application",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
101,1989,3,"Ad hoc",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
102,1989,3,"Ad hoc",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
103,1989,3,"Ad hoc",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
104,1989,3,"Ad hoc",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
105,1989,3,"Ad hoc",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
106,1989,3,"Ad hoc",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
107,1989,3,"Ad hoc",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
108,1989,3,"Ad hoc",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
109,1989,3,"Ad hoc",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
110,1989,3,"Ad hoc",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
111,1989,3,"Ad hoc",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
112,1989,3,"Ad hoc",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
113,1989,3,"Ad hoc",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
114,1989,3,"Ad hoc",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
115,1989,3,"Ad hoc",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
116,1989,3,"Ad hoc",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
117,1989,3,"Ad hoc",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
118,1989,3,"Ad hoc",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
119,1989,3,"Ad hoc",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
120,1989,3,"Ad hoc",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
121,1990,1,"Scheme",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
122,1990,1,"Scheme",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
123,1990,1,"Scheme",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
124,1990,1,"Scheme",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
125,1990,1,"Scheme",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
126,1990,1,"Scheme",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
127,1990,1,"Scheme",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
128,1990,1,"Scheme",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
129,1990,1,"Scheme",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
130,1990,1,"Scheme",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
131,1990,1,"Scheme",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
132,1990,1,"Scheme",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
133,1990,1,"Scheme",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
134,1990,1,"Scheme",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
135,1990,1,"Scheme",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
136,1990,1,"Scheme",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
137,1990,1,"Scheme",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
138,1990,1,"Scheme",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
139,1990,1,"Scheme",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
140,1990,1,"Scheme",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
141,1990,2,"Individual application",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
142,1990,2,"Individual application",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
143,1990,2,"Individual application",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
144,1990,2,"Individual application",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
145,1990,2,"Individual application",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
146,1990,2,"Individual application",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
147,1990,2,"Individual application",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
148,1990,2,"Individual application",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
149,1990,2,"Individual application",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
150,1990,2,"Individual application",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
151,1990,2,"Individual application",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
152,1990,2,"Individual application",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
153,1990,2,"Individual application",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
154,1990,2,"Individual application",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
155,1990,2,"Individual application",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
156,1990,2,"Individual application",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
157,1990,2,"Individual application",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
158,1990,2,"Individual application",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
159,1990,2,"Individual application",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
160,1990,2,"Individual application",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
161,1990,3,"Ad hoc",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
162,1990,3,"Ad hoc",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
163,1990,3,"Ad hoc",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
164,1990,3,"Ad hoc",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
165,1990,3,"Ad hoc",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
166,1990,3,"Ad hoc",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
167,1990,3,"Ad hoc",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
168,1990,3,"Ad hoc",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
169,1990,3,"Ad hoc",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
170,1990,3,"Ad hoc",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
171,1990,3,"Ad hoc",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
172,1990,3,"Ad hoc",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
173,1990,3,"Ad hoc",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
174,1990,3,"Ad hoc",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
175,1990,3,"Ad hoc",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
176,1990,3,"Ad hoc",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
177,1990,3,"Ad hoc",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
178,1990,3,"Ad hoc",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
179,1990,3,"Ad hoc",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
180,1990,3,"Ad hoc",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
181,1991,1,"Scheme",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
182,1991,1,"Scheme",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
183,1991,1,"Scheme",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
