"key_ID","year","decision_type_ID","decision_type","count_cases"
1,1988,1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
2,1988,2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
3,1988,3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
4,1988,4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
5,1988,5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
6,1988,6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
7,1988,7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
8,1988,8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
9,1988,9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
10,1988,10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
11,1988,11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
12,1988,12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
13,1988,13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
14,1988,14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
15,1988,15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
16,1988,16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
17,1988,17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
18,1988,18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
19,1988,19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",1
20,1988,20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
21,1989,1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
22,1989,2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
23,1989,3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
24,1989,4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
25,1989,5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
26,1989,6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
27,1989,7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
28,1989,8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
29,1989,9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
30,1989,10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
31,1989,11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
32,1989,12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
33,1989,13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
34,1989,14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
35,1989,15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
36,1989,16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
37,1989,17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
38,1989,18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
39,1989,19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
40,1989,20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
41,1990,1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
42,1990,2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
43,1990,3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
44,1990,4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
45,1990,5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
46,1990,6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
47,1990,7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
48,1990,8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
49,1990,9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
50,1990,10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
51,1990,11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
