"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","member_state_ID","member_state","member_state_code","case_type_ID","case_type","decision_type_ID","decision_type","count_decisions"
684,1988,1,"Competition","COMP",12,"Spain","ES",2,"Individual application",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
690,1988,1,"Competition","COMP",12,"Spain","ES",2,"Individual application",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
699,1988,1,"Competition","COMP",12,"Spain","ES",2,"Individual application",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",1
8783,1992,1,"Competition","COMP",3,"Germany","DE",2,"Individual application",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
8784,1992,1,"Competition","COMP",3,"Germany","DE",2,"Individual application",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
8791,1992,1,"Competition","COMP",3,"Germany","DE",2,"Individual application",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",1
8823,1992,1,"Competition","COMP",4,"Italy","IT",1,"Scheme",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
10804,1993,1,"Competition","COMP",1,"Belgium","BE",1,"Scheme",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
10811,1993,1,"Competition","COMP",1,"Belgium","BE",1,"Scheme",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",1
10983,1993,1,"Competition","COMP",4,"Italy","IT",1,"Scheme",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
10984,1993,1,"Competition","COMP",4,"Italy","IT",1,"Scheme",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
10985,1993,1,"Competition","COMP",4,"Italy","IT",1,"Scheme",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",1
10986,1993,1,"Competition","COMP",4,"Italy","IT",1,"Scheme",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",1
10990,1993,1,"Competition","COMP",4,"Italy","IT",1,"Scheme",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
10995,1993,1,"Competition","COMP",4,"Italy","IT",1,"Scheme",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",1
11464,1993,1,"Competition","COMP",12,"Spain","ES",1,"Scheme",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
11465,1993,1,"Competition","COMP",12,"Spain","ES",1,"Scheme",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",1
11467,1993,1,"Competition","COMP",12,"Spain","ES",1,"Scheme",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",1
11470,1993,1,"Competition","COMP",12,"Spain","ES",1,"Scheme",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
13184,1994,1,"Competition","COMP",4,"Italy","IT",3,"Ad hoc",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",2
13185,1994,1,"Competition","COMP",4,"Italy","IT",3,"Ad hoc",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",1
13187,1994,1,"Competition","COMP",4,"Italy","IT",3,"Ad hoc",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",1
13191,1994,1,"Competition","COMP",4,"Italy","IT",3,"Ad hoc",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",1
13195,1994,1,"Competition","COMP",4,"Italy","IT",3,"Ad hoc",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",1
13863,1994,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",1,"Scheme",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
13864,1994,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",1,"Scheme",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
13878,1994,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",1,"Scheme",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",1
14224,1994,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",1,"Scheme",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
14230,1994,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",1,"Scheme",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
14238,1994,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",1,"Scheme",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",1
15123,1995,1,"Competition","COMP",1,"Belgium","BE",1,"Scheme",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
15224,1995,1,"Competition","COMP",2,"France","FR",3,"Ad hoc",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
15230,1995,1,"Competition","COMP",2,"France","FR",3,"Ad hoc",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
15243,1995,1,"Competition","COMP",3,"Germany","DE",1,"Scheme",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
15244,1995,1,"Competition","COMP",3,"Germany","DE",1,"Scheme",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
15253,1995,1,"Competition","COMP",3,"Germany","DE",1,"Scheme",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",1
15304,1995,1,"Competition","COMP",4,"Italy","IT",1,"Scheme",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
15310,1995,1,"Competition","COMP",4,"Italy","IT",1,"Scheme",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
15311,1995,1,"Competition","COMP",4,"Italy","IT",1,"Scheme",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",1
15344,1995,1,"Competition","COMP",4,"Italy","IT",3,"Ad hoc",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
15350,1995,1,"Competition","COMP",4,"Italy","IT",3,"Ad hoc",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
15424,1995,1,"Competition","COMP",6,"Netherlands","NL",1,"Scheme",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
15433,1995,1,"Competition","COMP",6,"Netherlands","NL",1,"Scheme",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",1
15603,1995,1,"Competition","COMP",9,"United Kingdom","UK",1,"Scheme",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",2
15821,1995,1,"Competition","COMP",12,"Spain","ES",3,"Ad hoc",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",1
15824,1995,1,"Competition","COMP",12,"Spain","ES",3,"Ad hoc",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
15826,1995,1,"Competition","COMP",12,"Spain","ES",3,"Ad hoc",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",1
15830,1995,1,"Competition","COMP",12,"Spain","ES",3,"Ad hoc",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
15835,1995,1,"Competition","COMP",12,"Spain","ES",3,"Ad hoc",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",1
