"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","member_state_ID","member_state","member_state_code","decision_type_ID","decision_type","count_decisions"
224,1988,1,"Competition","COMP",12,"Spain","ES",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
230,1988,1,"Competition","COMP",12,"Spain","ES",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
239,1988,1,"Competition","COMP",12,"Spain","ES",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",1
2923,1992,1,"Competition","COMP",3,"Germany","DE",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
2924,1992,1,"Competition","COMP",3,"Germany","DE",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
2931,1992,1,"Competition","COMP",3,"Germany","DE",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",1
2943,1992,1,"Competition","COMP",4,"Italy","IT",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
3604,1993,1,"Competition","COMP",1,"Belgium","BE",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
3611,1993,1,"Competition","COMP",1,"Belgium","BE",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",1
3663,1993,1,"Competition","COMP",4,"Italy","IT",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
3664,1993,1,"Competition","COMP",4,"Italy","IT",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
3665,1993,1,"Competition","COMP",4,"Italy","IT",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",1
3666,1993,1,"Competition","COMP",4,"Italy","IT",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",1
3670,1993,1,"Competition","COMP",4,"Italy","IT",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
3675,1993,1,"Competition","COMP",4,"Italy","IT",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",1
3824,1993,1,"Competition","COMP",12,"Spain","ES",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
3825,1993,1,"Competition","COMP",12,"Spain","ES",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",1
3827,1993,1,"Competition","COMP",12,"Spain","ES",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",1
3830,1993,1,"Competition","COMP",12,"Spain","ES",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
4384,1994,1,"Competition","COMP",4,"Italy","IT",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",2
4385,1994,1,"Competition","COMP",4,"Italy","IT",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",1
4387,1994,1,"Competition","COMP",4,"Italy","IT",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",1
4391,1994,1,"Competition","COMP",4,"Italy","IT",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",1
4395,1994,1,"Competition","COMP",4,"Italy","IT",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",1
4623,1994,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
4624,1994,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
4638,1994,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",1
4744,1994,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
4750,1994,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
4758,1994,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",1
5043,1995,1,"Competition","COMP",1,"Belgium","BE",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
5064,1995,1,"Competition","COMP",2,"France","FR",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
5070,1995,1,"Competition","COMP",2,"France","FR",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
5083,1995,1,"Competition","COMP",3,"Germany","DE",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
5084,1995,1,"Competition","COMP",3,"Germany","DE",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
5093,1995,1,"Competition","COMP",3,"Germany","DE",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",1
5104,1995,1,"Competition","COMP",4,"Italy","IT",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",2
5110,1995,1,"Competition","COMP",4,"Italy","IT",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",2
5111,1995,1,"Competition","COMP",4,"Italy","IT",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",1
5144,1995,1,"Competition","COMP",6,"Netherlands","NL",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
5153,1995,1,"Competition","COMP",6,"Netherlands","NL",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",1
5203,1995,1,"Competition","COMP",9,"United Kingdom","UK",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",2
5261,1995,1,"Competition","COMP",12,"Spain","ES",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",1
5264,1995,1,"Competition","COMP",12,"Spain","ES",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
5266,1995,1,"Competition","COMP",12,"Spain","ES",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",1
5270,1995,1,"Competition","COMP",12,"Spain","ES",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
5275,1995,1,"Competition","COMP",12,"Spain","ES",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",1
5363,1995,2,"Agriculture and Rural Development","AGRI",2,"France","FR",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
5384,1995,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
5393,1995,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",1
5398,1995,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",1
5403,1995,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",2
5404,1995,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",4
5406,1995,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",2
5407,1995,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",1
5410,1995,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",2
5418,1995,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",1
5901,1995,3,"Maritime Affairs and Fisheries","MARE",14,"Finland","FI",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",1
5918,1995,3,"Maritime Affairs and Fisheries","MARE",14,"Finland","FI",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",1
5963,1996,1,"Competition","COMP",2,"France","FR",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
5964,1996,1,"Competition","COMP",2,"France","FR",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",5
5965,1996,1,"Competition","COMP",2,"France","FR",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",1
5966,1996,1,"Competition","COMP",2,"France","FR",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",1
5967,1996,1,"Competition","COMP",2,"France","FR",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",2
5968,1996,1,"Competition","COMP",2,"France","FR",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",2
5971,1996,1,"Competition","COMP",2,"France","FR",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",2
5975,1996,1,"Competition","COMP",2,"France","FR",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",1
5979,1996,1,"Competition","COMP",2,"France","FR",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",1
5984,1996,1,"Competition","COMP",3,"Germany","DE",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",2
5987,1996,1,"Competition","COMP",3,"Germany","DE",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",1
5991,1996,1,"Competition","COMP",3,"Germany","DE",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",2
6003,1996,1,"Competition","COMP",4,"Italy","IT",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",2
6004,1996,1,"Competition","COMP",4,"Italy","IT",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
6007,1996,1,"Competition","COMP",4,"Italy","IT",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",1
6008,1996,1,"Competition","COMP",4,"Italy","IT",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",1
6023,1996,1,"Competition","COMP",5,"Luxembourg","LU",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
6042,1996,1,"Competition","COMP",6,"Netherlands","NL",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",1
6063,1996,1,"Competition","COMP",7,"Denmark","DK",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
6131,1996,1,"Competition","COMP",10,"Greece","EL",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",1
6223,1996,1,"Competition","COMP",15,"Sweden","SE",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
6303,1996,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",3
6304,1996,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",6
6307,1996,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",3
6310,1996,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",4
6313,1996,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",1
6315,1996,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",1
6318,1996,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",1
6464,1996,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
6465,1996,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",1
6470,1996,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
6484,1996,2,"Agriculture and Rural Development","AGRI",13,"Austria","AT",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
6490,1996,2,"Agriculture and Rural Development","AGRI",13,"Austria","AT",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
6604,1996,3,"Maritime Affairs and Fisheries","MARE",4,"Italy","IT",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
