API_route_ID,API_route,API_parameter_ID,API_parameter,API_parameter_type,variable,fetch_values
1,cases,1,minYear,integer,notification_year,0
1,cases,2,maxYear,integer,notification_year,0
1,cases,3,memberState,integer,member_state_ID,1
1,cases,4,directorateGeneral,integer,directorate_general_ID,1
1,cases,5,caseNumber,string,case_number,0
1,cases,6,caseType,integer,case_type_ID,1
1,cases,7,exempt,bool,exempt,0
1,cases,8,preliminaryInvestigation,bool,preliminary_investigation,0
1,cases,9,formalInvestigation,bool,formal_investigation,0
1,cases,10,noObjection,bool,no_objection,0
1,cases,11,notAid,bool,no_aid,0
1,cases,12,positive,bool,positive,0
1,cases,13,negative,bool,negative,0
1,cases,14,conditional,bool,conditional,0
1,cases,15,withdrawal,bool,withdrawal,0
1,cases,16,referral,bool,referral,0
1,cases,17,recovery,bool,recovery,0
1,cases,18,limit,integer,NA,0
1,cases,19,offset,integer,NA,0
1,cases,20,download,bool,NA,0
2,cases/TS,1,byCaseType,bool,NA,0
2,cases/TS,2,minYear,integer,year,0
2,cases/TS,3,maxYear,integer,year,0
2,cases/TS,4,caseType,integer,case_type_ID,1
2,cases/TS,5,limit,integer,NA,0
2,cases/TS,6,offset,integer,NA,0
2,cases/TS,7,download,bool,NA,0
3,cases/CSTS,1,byCaseType,bool,NA,0
3,cases/CSTS,2,crossSection,string,NA,0
3,cases/CSTS,3,memberState,integer,member_state_ID,1
3,cases/CSTS,4,directorateGeneral,integer,directorate_general_ID,1
3,cases/CSTS,5,minYear,integer,case_year,0
3,cases/CSTS,6,maxYear,integer,case_year,0
3,cases/CSTS,7,caseType,integer,case_type_ID,1
3,cases/CSTS,8,limit,integer,NA,0
3,cases/CSTS,9,offset,integer,NA,0
3,cases/CSTS,10,download,bool,NA,0
4,cases/DDY,1,byCaseType,bool,NA,0
4,cases/DDY,2,minYear,integer,case_year,0
4,cases/DDY,3,maxYear,integer,case_year,0
4,cases/DDY,4,memberState,integer,member_state_ID,1
4,cases/DDY,5,directorateGeneral,integer,directorate_general_ID,1
4,cases/DDY,6,caseType,integer,case_type_ID,1
4,cases/DDY,7,network,bool,NA,0
4,cases/DDY,8,limit,integer,NA,0
4,cases/DDY,9,offset,integer,NA,0
4,cases/DDY,10,download,bool,NA,0
5,decisions,1,minYear,integer,decision_year,0
5,decisions,2,maxYear,integer,decision_year,0
5,decisions,3,memberState,integer,member_state_ID,1
5,decisions,4,directorateGeneral,integer,directorate_general_ID,1
5,decisions,5,caseNumber,string,case_number,0
5,decisions,6,caseType,integer,case_type_ID,1
5,decisions,7,decisionType,integer,decision_type_ID,0
5,decisions,8,limit,integer,NA,0
5,decisions,9,offset,integer,NA,0
5,decisions,10,download,bool,NA,0
6,decisions/TS,1,byCaseType,bool,NA,0
6,decisions/TS,2,minYear,integer,year,0
6,decisions/TS,3,maxYear,integer,year,0
6,decisions/TS,4,caseType,integer,case_type_ID,1
6,decisions/TS,5,decisionType,integer,decision_type_ID,1
6,decisions/TS,6,limit,integer,NA,0
6,decisions/TS,7,offset,integer,NA,0
6,decisions/TS,8,download,bool,NA,0
7,decisions/CSTS,1,byCaseType,bool,NA,0
7,decisions/CSTS,2,crossSection,string,NA,0
7,decisions/CSTS,3,memberState,integer,member_state_ID,1
7,decisions/CSTS,4,directorateGeneral,integer,directorate_general_ID,1
7,decisions/CSTS,5,minYear,integer,case_year,0
7,decisions/CSTS,6,maxYear,integer,case_year,0
7,decisions/CSTS,7,caseType,integer,case_type_ID,1
7,decisions/CSTS,8,decisionType,integer,decision_type_ID,1
7,decisions/CSTS,9,limit,integer,NA,0
7,decisions/CSTS,10,offset,integer,NA,0
7,decisions/CSTS,11,download,bool,NA,0
8,decisions/DDY,1,byCaseType,bool,NA,0
8,decisions/DDY,2,minYear,integer,case_year,0
8,decisions/DDY,3,maxYear,integer,case_year,0
8,decisions/DDY,4,memberState,integer,member_state_ID,1
8,decisions/DDY,5,directorateGeneral,integer,directorate_general_ID,1
8,decisions/DDY,6,caseType,integer,case_type_ID,1
8,decisions/DDY,7,decisionType,integer,decision_type_ID,1
8,decisions/DDY,8,network,bool,NA,0
8,decisions/DDY,9,limit,integer,NA,0
8,decisions/DDY,10,offset,integer,NA,0
8,decisions/DDY,11,download,bool,NA,0
9,awards,1,minYear,integer,notification_year,0
9,awards,2,maxYear,integer,notification_year,0
9,awards,3,caseNumber,string,case_number,0
9,awards,4,memberState,integer,member_state_ID,1
9,awards,5,beneficiaryType,integer,beneficiary_type_ID,1
9,awards,6,sector,integer,NACE_sector_ID,1
9,awards,7,aidInstrument,integer,aid_instrument_ID,1
9,awards,8,limit,integer,NA,0
9,awards,9,offset,integer,NA,0
9,awards,10,download,bool,NA,0
10,awards/CSTS,1,minYear,integer,notification_year,0
10,awards/CSTS,2,maxYear,integer,notification_year,0
10,awards/CSTS,3,memberState,integer,member_state_ID,1
10,awards/CSTS,4,byBeneficiary,bool,NA,0
10,awards/CSTS,5,byInstrument,bool,NA,0
10,awards/CSTS,6,bySector,bool,NA,0
10,awards/CSTS,7,beneficiaryType,integer,beneficiary_type_ID,1
10,awards/CSTS,8,sector,integer,NACE_sector_ID,1
10,awards/CSTS,9,aidInstrument,integer,aid_instrument_ID,1
10,awards/CSTS,10,limit,integer,NA,0
10,awards/CSTS,11,offset,integer,NA,0
10,awards/CSTS,12,download,bool,NA,0
