dataset_ID,dataset,variable_ID,variable,type,description
1,cases,1,key_ID,numeric,An ID number that uniquely identifies each observation in the dataset. 
1,cases,2,case_number,string,"A number that uniquely identifies each state aid case. Assigned by the Commission. The Commission changed the format of case numbers in 2010. Before this change, the case number indicated the type(s) of the procedure associated with the case. After this change, all case numbers have the format {SA.#####}."
1,cases,3,procedure_numbers,string,"Numbers that uniquely identifiy each procedure associated with a case. If there are multiple procedures, the procedure numbers are listed and separated by a comma. After the Commission changed the format of case numbers in 2010, only procedure numbers indicate the types of procedures associated with a case."
1,cases,4,member_state_ID,numeric,An ID number that uniquely identifies each member state. This ID number is assigned when member states are sorted by accession date and then alphabetically. 
1,cases,5,member_state,string,The name of the member state that the Commission opened the case against. 
1,cases,6,member_state_code,string,A two letter code assigned by the Commission that uniquely identifies each member state. 
1,cases,7,directorate_general_ID,numeric,"An ID number that uniquely identifies each Directorate-General (DG) of the Commission. There are three DGs that can open state aid cases. The DG for Competition (COMP) is coded {1}, the DG for Agriculture and Rural Development (AGRI) is coded {2}, and the DG for Maritime Affairs and Fisheries (MARE) is coded {3}."
1,cases,8,directorate_general,string,The name of the Directorate-General (DG) of the Commission that opened the state aid case.
1,cases,9,directorate_general_code,string,A multi-letter code assigned by the Commission that uniquely identifies each Directorate-General (DG) of the Commission. 
1,cases,10,case_type_ID,numeric,"An ID number that uniquely identifies each type of state aid cases. Coded {1} for cases that involve state aid measures granted through Commission-approved schemes that is not notifiable, coded {2} for cases that involve state aid measures granted through Commission-approved schemes where the Commission has required that the member state notify any aid granted through the scheme, and coded {3} for cases that involve ad hoc state aid measures that are not granted through a scheme."
1,cases,11,case_type,string,"The type of the state aid case. There are three types of cases. Coded {Scheme} for cases that involve state aid measures granted through Commission-approved schemes that is not notifiable, coded {Individual application} for cases that involve state aid measures granted through Commission-approved schemes where the Commission has required that the member state notify any aid granted through the scheme, and coded {Ad hoc} for cases that involve ad hoc state aid measures that are not granted through a scheme."
1,cases,12,procedure_types,string,"A list of the types of procedures associated with the case, separated by a comma. Procedure types are listed in the order that the Commission opened the procedures. Possible values include: {Contradictory aid}, for state aid that the Commission suspects violates the rules of the internal market, as defined by Article 107 of the Treaty of the Functioning of the European Union (TFEU); {Existing aid}, for existing state aid measures; {Notified aid}, for state aid that the member state has notified to the Commission; {Unnotified aid}, for state aid that the member state has not notified to the Commission; {General block exemption}, for state aid that is exempt from notification under the General Block Exemption Regulation (GBER); and {Special block exemption}, for state aid that is exempt from notification under a specific block exemption."
1,cases,13,contradictory_aid,bool,"A dummy variable indicating whether the case relates to whether the Commission suspects that the state aid measure is contradictory to the rules of the single market, as defined by Article 107 of the Treaty of the Functioning of the European Union (TFEU). Coded {1} if it does and {0} if it does not."
1,cases,14,existing_aid,bool,A dummy variable indicating whether the case relates to existing state aid measures. Coded {1} if it does and {0} if it does not.
