Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,7.637600,7.637600,7.637600,7.501800,7.501800,0
2016-01-04,7.637600,7.664400,7.635200,7.501800,7.501800,0
2016-01-05,7.638300,7.642800,7.632300,7.639000,7.639000,0
2016-01-06,7.637000,7.642900,7.632900,7.639000,7.639000,0
2016-01-07,7.640100,7.644100,7.629900,7.639400,7.639400,0
2016-01-08,7.641300,7.647700,7.633400,7.640300,7.640300,0
2016-01-11,7.648700,7.648700,7.636800,7.492700,7.492700,0
2016-01-12,7.644400,7.670000,7.631700,7.645000,7.645000,0
2016-01-13,7.666000,7.669200,7.649600,7.666000,7.666000,0
2016-01-14,7.663000,7.674800,7.658600,7.663700,7.663700,0
2016-01-15,7.663000,7.669700,7.659000,7.663000,7.663000,0
2016-01-18,7.663600,7.664600,7.639000,7.517800,7.517800,0
2016-01-19,7.659600,7.665000,7.650200,7.659000,7.659000,0
2016-01-20,7.660000,7.666800,7.656100,7.660000,7.660000,0
2016-01-21,7.663300,7.673100,7.624500,7.659600,7.659600,0
2016-01-22,7.665000,7.671500,7.662100,7.664600,7.664600,0
2016-01-25,7.667800,7.673700,7.651900,7.667800,7.667800,0
2016-01-26,7.659700,7.669200,7.651400,7.659300,7.659300,0
2016-01-27,7.665000,7.669400,7.648300,7.661400,7.661400,0
2016-01-28,7.661300,7.671300,7.653000,7.659800,7.659800,0
2016-01-29,7.657700,7.664800,7.655200,7.656600,7.656600,0
2016-02-01,7.661500,7.662600,7.652500,7.515300,7.515300,0
2016-02-02,7.655300,7.668600,7.653500,7.656000,7.656000,0
2016-02-03,7.664600,7.669200,7.660100,7.667700,7.667700,0
2016-02-04,7.666400,7.668800,7.651500,7.666100,7.666100,0
2016-02-05,7.658000,7.667100,7.645500,7.665000,7.665000,0
2016-02-08,7.660400,7.661700,7.638900,7.660400,7.660400,0
2016-02-09,7.642700,7.654100,7.635200,7.651400,7.651400,0
2016-02-10,7.640700,7.652000,7.610100,7.640200,7.640200,0
2016-02-11,7.639200,7.653400,7.622000,7.627600,7.627600,0
2016-02-12,7.634700,7.644800,7.610400,7.636700,7.636700,0
2016-02-15,7.481000,7.624000,7.481000,7.481000,7.481000,0
2016-02-16,7.615700,7.632200,7.609600,7.616000,7.616000,0
2016-02-17,7.614000,7.620400,7.598600,7.618400,7.618400,0
2016-02-18,7.615000,7.620200,7.612400,7.616100,7.616100,0
2016-02-19,7.615300,7.621700,7.611000,7.616400,7.616400,0
2016-02-22,7.465500,7.637400,7.465500,7.636000,7.636000,0
2016-02-23,7.626300,7.641900,7.617300,7.627300,7.627300,0
2016-02-24,7.627700,7.632500,7.615200,7.627700,7.627700,0
2016-02-25,7.622300,7.627100,7.613200,7.625400,7.625400,0
2016-02-26,7.620500,7.626200,7.615200,7.620000,7.620000,0
2016-02-29,7.621900,7.633100,7.611400,7.473000,7.473000,0
2016-03-01,7.623600,7.626100,7.602200,7.613800,7.613800,0
2016-03-02,7.605700,7.618000,7.598600,7.605000,7.605000,0
2016-03-03,7.603400,7.617000,7.592600,7.602300,7.602300,0
2016-03-04,7.594300,7.614900,7.584200,7.595400,7.595400,0
2016-03-07,7.584100,7.590600,7.570500,7.451500,7.451500,0
2016-03-08,7.578400,7.582200,7.565600,7.572000,7.572000,0
2016-03-09,7.567300,7.576700,7.548400,7.567400,7.567400,0
2016-03-10,7.565000,7.586200,7.535100,7.576400,7.576400,0
2016-03-11,7.564900,7.581100,7.562300,7.564700,7.564700,0
2016-03-14,7.562900,7.576700,7.550300,7.422500,7.422500,0
2016-03-15,7.564700,7.577800,7.552100,7.575000,7.575000,0
2016-03-16,7.558700,7.576700,7.554300,7.556600,7.556600,0
2016-03-17,7.563000,7.567000,7.527600,7.562000,7.562000,0
2016-03-18,7.534700,7.536000,7.518300,7.533300,7.533300,0
2016-03-21,7.509700,7.531300,7.509700,7.509700,7.509700,0
2016-03-22,7.528700,7.541700,7.525000,7.528700,7.528700,0
2016-03-23,7.536000,7.544100,7.523400,7.528700,7.528700,0
2016-03-24,7.538700,7.542200,7.523700,7.538000,7.538000,0
2016-03-25,7.532300,7.532300,7.532300,7.532300,7.532300,0
2016-03-28,7.532300,7.532300,7.532300,7.532300,7.532300,0
2016-03-29,7.532300,7.546300,7.515300,7.532300,7.532300,0
2016-03-30,7.519000,7.536300,7.510700,7.520600,7.520600,0
2016-03-31,7.520300,7.533500,7.501300,7.519600,7.519600,0
2016-04-01,7.517300,7.526000,7.492900,7.517300,7.517300,0
2016-04-04,7.503200,7.517100,7.498600,7.503200,7.503200,0
2016-04-05,7.513000,7.520300,7.505000,7.513000,7.513000,0
2016-04-06,7.510000,7.518500,7.489800,7.510000,7.510000,0
2016-04-07,7.507000,7.523500,7.501700,7.506900,7.506900,0
2016-04-08,7.506100,7.509600,7.488300,7.508000,7.508000,0
2016-04-11,7.500300,7.500300,7.483700,7.500300,7.500300,0
2016-04-12,7.486900,7.489300,7.462800,7.486900,7.486900,0
2016-04-13,7.480000,7.495000,7.446400,7.479600,7.479600,0
2016-04-14,7.465700,7.486700,7.461400,7.465700,7.465700,0
2016-04-15,7.479000,7.505200,7.461700,7.480000,7.480000,0
2016-04-18,7.500000,7.506000,7.489700,7.500000,7.500000,0
2016-04-19,7.502400,7.513500,7.492900,7.495200,7.495200,0
2016-04-20,7.501700,7.505000,7.486500,7.499000,7.499000,0
2016-04-21,7.498300,7.505600,7.480200,7.498300,7.498300,0
2016-04-22,7.484000,7.491500,7.481300,7.485400,7.485400,0
2016-04-25,7.484600,7.486000,7.472700,7.484600,7.484600,0
2016-04-26,7.478000,7.483700,7.474000,7.478300,7.478300,0
2016-04-27,7.476000,7.484700,7.470000,7.476000,7.476000,0
2016-04-28,7.474300,7.490300,7.469600,7.477000,7.477000,0
2016-04-29,7.484700,7.519600,7.483700,7.486000,7.486000,0
2016-05-02,7.506400,7.526200,7.505000,7.506400,7.506400,0
2016-05-03,7.512500,7.528800,7.501700,7.512500,7.512500,0
2016-05-04,7.510000,7.522400,7.499800,7.508000,7.508000,0
2016-05-05,7.512000,7.517300,7.504700,7.512000,7.512000,0
2016-05-06,7.508300,7.521600,7.489700,7.508300,7.508300,0
2016-05-09,7.498300,7.498300,7.473400,7.498300,7.498300,0
2016-05-10,7.476300,7.503000,7.462200,7.476000,7.476000,0
2016-05-11,7.502000,7.521000,7.488600,7.500000,7.500000,0
2016-05-12,7.514600,7.516700,7.488400,7.516600,7.516600,0
2016-05-13,7.500000,7.503700,7.478900,7.500000,7.500000,0
2016-05-16,7.495600,7.502600,7.489400,7.495600,7.495600,0
2016-05-17,7.494000,7.503600,7.481400,7.495000,7.495000,0
2016-05-18,7.492000,7.499000,7.469000,7.492000,7.492000,0
2016-05-19,7.488000,7.493000,7.481700,7.488600,7.488600,0
2016-05-20,7.484600,7.491700,7.481600,7.484700,7.484700,0
2016-05-23,7.484000,7.499600,7.479400,7.484000,7.484000,0
2016-05-24,7.486300,7.496800,7.470000,7.491000,7.491000,0
2016-05-25,7.486000,7.500100,7.472200,7.491000,7.491000,0
2016-05-26,7.492000,7.498300,7.489700,7.491400,7.491400,0
2016-05-27,7.491700,7.496000,7.477900,7.492000,7.492000,0
2016-05-30,7.493300,7.495800,7.466100,7.493300,7.493300,0
2016-05-31,7.482300,7.497400,7.470700,7.482300,7.482300,0
2016-06-01,7.496000,7.517400,7.480700,7.494600,7.494600,0
2016-06-02,7.507000,7.509700,7.478700,7.507000,7.507000,0
2016-06-03,7.494700,7.531800,7.488300,7.495700,7.495700,0
2016-06-06,7.492600,7.508300,7.476200,7.492600,7.492600,0
2016-06-07,7.503300,7.515300,7.502000,7.503300,7.503300,0
2016-06-08,7.514000,7.540300,7.508300,7.513700,7.513700,0
2016-06-09,7.526700,7.547000,7.523300,7.526700,7.526700,0
2016-06-10,7.533400,7.539000,7.526600,7.533000,7.533000,0
2016-06-13,7.539700,7.542000,7.518400,7.539700,7.539700,0
2016-06-14,7.528000,7.539400,7.518300,7.527300,7.527300,0
2016-06-15,7.522000,7.527700,7.519600,7.522700,7.522700,0
2016-06-16,7.525000,7.539700,7.519900,7.525000,7.525000,0
2016-06-17,7.522000,7.531000,7.514200,7.523700,7.523700,0
2016-06-20,7.575400,7.586900,7.502100,7.519400,7.519400,0
2016-06-21,7.516700,7.519000,7.507400,7.513900,7.513900,0
2016-06-22,7.517300,7.519400,7.513000,7.514300,7.514300,0
2016-06-23,7.516300,7.526600,7.511700,7.515600,7.515600,0
2016-06-24,7.519000,7.544100,7.504600,7.517100,7.517100,0
2016-06-27,7.370000,7.531600,7.370000,7.529400,7.529400,0
2016-06-28,7.513400,7.524400,7.503400,7.515900,7.515900,0
2016-06-29,7.513000,7.535800,7.493200,7.513000,7.513000,0
2016-06-30,7.526700,7.535900,7.519200,7.523300,7.523300,0
2016-07-01,7.379000,7.533500,7.379000,7.523600,7.523600,0
2016-07-04,7.514600,7.524600,7.507400,7.373500,7.373500,0
2016-07-05,7.522500,7.524500,7.490300,7.515100,7.515100,0
2016-07-06,7.499000,7.502400,7.485300,7.499000,7.499000,0
2016-07-07,7.487400,7.493600,7.480600,7.488300,7.488300,0
2016-07-08,7.482400,7.493600,7.440500,7.486600,7.486600,0
2016-07-11,7.333000,7.480000,7.333000,7.480400,7.480400,0
