member_state,member_state_code,member_state_ID,accession_date,accession_year
Belgium,BE,1,1952-07-23,1952
France,FR,2,1952-07-23,1952
Germany,DE,3,1952-07-23,1952
Italy,IT,4,1952-07-23,1952
Luxembourg,LU,5,1952-07-23,1952
Netherlands,NL,6,1952-07-23,1952
Denmark,DK,7,1973-01-01,1973
Ireland,IE,8,1973-01-01,1973
United Kingdom,UK,9,1973-01-01,1973
Greece,EL,10,1981-01-01,1981
Portugal,PT,11,1986-01-01,1986
Spain,ES,12,1986-01-01,1986
Austria,AT,13,1995-01-01,1995
Finland,FI,14,1995-01-01,1995
Sweden,SE,15,1995-01-01,1995
Cyprus,CY,16,2004-05-01,2004
Czech Republic,CZ,17,2004-05-01,2004
Estonia,EE,18,2004-05-01,2004
Hungary,HU,19,2004-05-01,2004
Latvia,LV,20,2004-05-01,2004
Lithuania,LT,21,2004-05-01,2004
Malta,MT,22,2004-05-01,2004
Poland,PL,23,2004-05-01,2004
Slovakia,SK,24,2004-05-01,2004
Slovenia,SI,25,2004-05-01,2004
Bulgaria,BG,26,2007-01-01,2007
Romania,RO,27,2007-01-01,2007
Croatia,HR,28,2013-07-01,2013
